openalex_id,title,year,own_field,fwci,cited_by_count,gen2_total,gen2_same_field,same_field_fraction,gen2_back_to_math,back_to_math_fraction,field_breakdown,doi
W2112838653,Electrostatic colloid-membrane binding,2004,"Biochemistry, Genetics and Molecular Biology",0.2395,54,54,29,0.537,0,0.0,"Biochemistry, Genetics and Molecular Biology:29; Materials Science:17; Engineering:2; Chemistry:2; Physics and Astronomy:1; Neuroscience:1; Medicine:1; Chemical Engineering:1",10.1209/epl/i2004-10068-x
W2044735577,Bicontinuous Cubic Morphologies in Block Copolymers and Amphiphile/Water Systems:  Mathematical Description through the Minimal Surfaces,1997,Materials Science,2.2686,60,59,25,0.424,0,0.0,"Materials Science:25; Biochemistry, Genetics and Molecular Biology:16; Chemistry:8; Engineering:4; Physics and Astronomy:1; Pharmacology, Toxicology and Pharmaceutics:1; Health Professions:1; Dentistry:1; Chemical Engineering:1; Agricultural and Biological Sciences:1",10.1021/ma9614353
W2088920577,Toward giga-pixel nanoscopy on a chip: a computational wide-field look at the nano-scale without the use of lenses,2013,Physics and Astronomy,6.4984,55,55,25,0.455,0,0.0,"Physics and Astronomy:25; Engineering:14; Biochemistry, Genetics and Molecular Biology:9; Computer Science:4; Materials Science:1; Immunology and Microbiology:1; Environmental Science:1",10.1039/c3lc50222h
W2000412615,Symmetry properties and explicit solutions of the generalized Weierstrass system,2001,Physics and Astronomy,3.1748,35,28,24,0.857,1,0.036,"Physics and Astronomy:24; Biochemistry, Genetics and Molecular Biology:2; Mathematics:1; Engineering:1",10.1063/1.1337796
W2069107272,Giant leaps and minimal branes in multidimensional flux landscapes,2011,Physics and Astronomy,4.8838,23,24,24,1.0,0,0.0,Physics and Astronomy:24,10.1103/physrevd.84.023513
W3026088860,XROMM and diceCT reveal a hydraulic mechanism of tongue base retraction in swallowing,2020,Health Professions,6.3158,45,45,18,0.4,0,0.0,"Health Professions:18; Medicine:9; Environmental Science:5; Biochemistry, Genetics and Molecular Biology:5; Computer Science:3; Psychology:2; Engineering:2; Earth and Planetary Sciences:1",10.1038/s41598-020-64935-z
W2002021482,Triply periodic minimal surfaces decorated with curved graphite,1993,Chemistry,2.3658,59,58,17,0.293,2,0.034,Materials Science:32; Chemistry:17; Physics and Astronomy:3; Engineering:3; Mathematics:2; Computer Science:1,10.1016/0009-2614(93)85009-d
W2026783245,On the existence of capillary free surfaces in the absence of gravity,1980,Engineering,183.6927,24,23,10,0.435,8,0.348,Engineering:10; Mathematics:8; Computer Science:3; Materials Science:2,10.2140/pjm.1980.88.323
W168724759,The Topological Background of Schwarzite Physics,2010,Materials Science,6.5705,11,11,9,0.818,1,0.091,Materials Science:9; Mathematics:1; Chemistry:1,10.1007/978-94-007-0221-9_12
W2006894956,Polymerization in the cubic phase and studies of phase behavior in two nonionic surfactant-water-acrylamide systems,1992,Chemistry,0.3347,9,9,8,0.889,0,0.0,Chemistry:8; Materials Science:1,10.1016/0021-9797(92)90091-y
W2065862916,The shapes of first-stage sinters,1989,Earth and Planetary Sciences,2.2663,28,22,7,0.318,0,0.0,Engineering:7; Earth and Planetary Sciences:7; Materials Science:5; Physics and Astronomy:2; Chemistry:1,10.1063/1.342674
W4386139171,Mathematical Physics with Differential Equations,2023,Physics and Astronomy,37.4,5,5,5,1.0,0,0.0,Physics and Astronomy:5,10.1093/oso/9780192872616.001.0001
W2906809727,Liouville-Type Theorems for Elliptic Problems,2007,Computer Science,3.7448,64,62,3,0.048,52,0.839,"Mathematics:52; Computer Science:3; Physics and Astronomy:2; Engineering:2; Economics, Econometrics and Finance:1; Arts and Humanities:1; (no field):1",10.1016/s1874-5733(07)80005-2
W2028122516,An embedded genus-one helicoid,2009,Engineering,5.3124,37,19,2,0.105,15,0.789,Mathematics:15; Engineering:2; Materials Science:1; (no field):1,10.4007/annals.2009.169.347
W2131425046,A new protein folding algorithm based on hydrophobic compactness: Rigid Unconnected Secondary Structure Iterative Assembly (RUSSIA). II: Applications,2003,"Biochemistry, Genetics and Molecular Biology",0.0,3,3,2,0.667,0,0.0,"Biochemistry, Genetics and Molecular Biology:2; Immunology and Microbiology:1",10.1093/protein/gzg141
W2166244928,Embedded minimal disks: Proper versus nonproper—global versus local,2003,Computer Science,3.998,57,38,2,0.053,33,0.868,Mathematics:33; Computer Science:2; Physics and Astronomy:1; Engineering:1; (no field):1,10.1090/s0002-9947-03-03230-6
W2789770516,Polymer Structures with the Topology of Triply Periodic Minimal Surfaces,2017,Materials Science,13.1663,20,20,2,0.1,0,0.0,Engineering:17; Materials Science:2; Computer Science:1,10.1134/s1087659617060177
W1598887706,The Laplace equation of capillarity,1998,Materials Science,2.2366,11,11,1,0.091,0,0.0,Engineering:6; Environmental Science:2; Materials Science:1; Chemical Engineering:1; Agricultural and Biological Sciences:1,10.1016/s1383-7303(98)80018-5
W2027915740,The contact angle in capillarity,2006,Earth and Planetary Sciences,3.2589,60,60,1,0.017,2,0.033,Materials Science:24; Engineering:21; Physics and Astronomy:7; Mathematics:2; Chemistry:2; Medicine:1; Environmental Science:1; Earth and Planetary Sciences:1; Computer Science:1,10.1063/1.2185655
W2092645959,Scherk-Type Capillary Graphs,2005,Engineering,51.714,11,9,1,0.111,6,0.667,Mathematics:6; Engineering:1; Computer Science:1; (no field):1,10.1007/s00021-004-0140-8
W2094658998,Shapes of completely wetted two-dimensional powder compacts for applications to sintering,1992,Earth and Planetary Sciences,0.2912,3,3,1,0.333,0,0.0,Health Professions:1; Engineering:1; Earth and Planetary Sciences:1,10.1063/1.350973
W1529287174,Equivariant Deformations of Horospherical Surfaces,2010,Earth and Planetary Sciences,0.296,1,1,0,0.0,1,1.0,Mathematics:1,10.7936/k7dr2skf
W1607196095,Towards a classification of CMC-1 Trinoids in hyperbolic space via conjugate surfaces,2003,Medicine,,0,0,0,0.0,0,0.0,,10.48550/arxiv.math/0310397
W1612200372,Brownian motion and the parabolicity of minimal graphs,2008,"Economics, Econometrics and Finance",,6,3,0,0.0,2,0.667,Mathematics:2; (no field):1,10.48550/arxiv.0810.0669
W2005684646,Non-continuous dependence of surfaces of least area on the boundary curve,1977,Engineering,20.5098,29,28,0,0.0,19,0.679,"Mathematics:19; Computer Science:7; Physics and Astronomy:1; Business, Management and Accounting:1",10.2140/pjm.1977.70.11
W2009242770,Differential geometric theory of capillarity,1996,Chemistry,0.3212,7,5,0,0.0,0,0.0,Materials Science:2; Physics and Astronomy:1; Engineering:1; Earth and Planetary Sciences:1,10.1016/0927-7757(96)03591-1
W2032676329,Hedgehogs and area of order 2,1996,"Biochemistry, Genetics and Molecular Biology",0.0,4,3,0,0.0,3,1.0,Mathematics:3,10.1007/bf01268931
W2074313127,The maximum principle at infinity for minimal surfaces in flat three manifolds,1990,Computer Science,5.9782,49,21,0,0.0,18,0.857,Mathematics:18; Engineering:2; (no field):1,10.1007/bf02566606
W2097063601,"Falaco Solitons, Cosmological strings in swimming pool.",2005,Arts and Humanities,0.0,2,2,0,0.0,0,0.0,Materials Science:1; Computer Science:1,
W2135956548,EMBEDDED MINIMAL SURFACES OF FINITE TOPOLOGY AND ONE END,2009,Arts and Humanities,0.0,0,0,0,0.0,0,0.0,,
W2153388310,"Falaco Solitons, Cosmological strings in swimming pool. Update of arXiv/gr-qc/0101098",2006,Arts and Humanities,2.7209,1,1,0,0.0,0,0.0,Physics and Astronomy:1,
W2169776346,Heart wall myofibers are arranged in minimal surfaces to optimize organ function,2012,Materials Science,3.878,62,62,0,0.0,0,0.0,"Medicine:41; Engineering:10; Computer Science:5; Biochemistry, Genetics and Molecular Biology:4; Physics and Astronomy:1; Neuroscience:1",10.1073/pnas.1120785109
W2184041237,Tittel på avhandlingen Undertittel på avhandlingen,2012,Social Sciences,0.0,0,0,0,0.0,0,0.0,,
W2203603201,“Sphere to Cylinder”: Pseudo-Cylindrical Projections,2014,Social Sciences,0.0,0,0,0,0.0,0,0.0,,10.1007/978-3-642-36494-5_13
W2215812709,“Sphere to Cylinder”: Oblique Aspect,2014,Social Sciences,0.0,0,0,0,0.0,0,0.0,,10.1007/978-3-642-36494-5_12
W2219401023,“Sphere to Cylinder”: Polar Aspect,2014,Social Sciences,0.0,0,0,0,0.0,0,0.0,,10.1007/978-3-642-36494-5_10
W2493896240,Soap Films: The Amusement of Children and Mathematicians,1996,Health Professions,0.0,0,0,0,0.0,0,0.0,,10.1007/978-1-4612-2424-2_6
W28451638,Optimal Map Projections by Variational Calculus: Harmonic Maps,2014,Earth and Planetary Sciences,0.7558,2,2,0,0.0,0,0.0,Social Sciences:2,10.1007/978-3-642-36494-5_22
W2963173568,On the Uniqueness of Vortex Equations and Its Geometric Applications,2018,Earth and Planetary Sciences,2.5648,17,16,0,0.0,14,0.875,Mathematics:14; Physics and Astronomy:1; Computer Science:1,10.1007/s12220-018-9981-x
W2976057645,A estruturação do saber relacionado a geometria complexa e a modelagem paramétrica de estruturas regenerativas na arquitetura,2019,Environmental Science,0.0,1,1,0,0.0,0,0.0,Engineering:1,10.11606/gtp.v14i1.148024
W36637537,C 10(3): The Ten Parameter Conformal Group as a Datum Transformation in Three-Dimensional Euclidean Space,2014,Social Sciences,0.0,1,1,0,0.0,1,1.0,Mathematics:1,10.1007/978-3-642-36494-5_24
W4205537050,Faculty Opinions recommendation of Heart wall myofibers are arranged in minimal surfaces to optimize organ function.,2012,Medicine,,0,0,0,0.0,0,0.0,,10.3410/f.717953919.793459618
W4233857576,,1994,(no field),,0,0,0,0.0,0,0.0,,10.1090/qam/1994-52-01
W4236522220,Bibliography,2004,(no field),,0,0,0,0.0,0,0.0,,10.1016/s1874-7051(01)80014-1
W4240373209,Libro de resúmenes del ECI 2015 de invierno,2020,Environmental Science,0.0,0,0,0,0.0,0,0.0,,10.33017/recytperu2015.0002/
W4248074405,Bibliography,2016,(no field),,0,0,0,0.0,0,0.0,,10.1016/b978-0-12-804489-6.50025-2
W4254351106,Bibliography,1994,(no field),,0,0,0,0.0,0,0.0,,10.1016/b978-0-12-464990-3.50017-7
W4386139101,Copyright Page,2023,Arts and Humanities,,0,0,0,0.0,0,0.0,,10.1093/oso/9780192872616.002.0003
W80732947,“Sphere to Cylinder”: Transverse Aspect,2014,Social Sciences,0.0,1,1,0,0.0,0,0.0,Engineering:1,10.1007/978-3-642-36494-5_11
W9467931,A Laboratory for Geometric Performance 1,1999,Arts and Humanities,0.0,0,0,0,0.0,0,0.0,,10.1016/s0040-8166(97)80046-8
