field,field_rank_in_field,openalex_id,title,year,type,fwci,top_10_percent,cited_by_count,subfield,authors,doi
Materials Science,5,W2044735577,Bicontinuous Cubic Morphologies in Block Copolymers and Amphiphile/Water Systems:  Mathematical Description through the Minimal Surfaces,1997,article,2.2686,0,60,Materials Chemistry,"Alto D. Benedicto, David F. O’Brien",10.1021/ma9614353
Materials Science,6,W1598887706,The Laplace equation of capillarity,1998,book-chapter,2.2366,0,11,"Surfaces, Coatings and Films",J. Gaydos,10.1016/s1383-7303(98)80018-5
Social Sciences,1,W36637537,C 10(3): The Ten Parameter Conformal Group as a Datum Transformation in Three-Dimensional Euclidean Space,2014,book-chapter,0.0,0,1,"Geography, Planning and Development","Erik W. Grafarend, Rey-Jer You, Rainer Syffus",10.1007/978-3-642-36494-5_24
Social Sciences,2,W80732947,“Sphere to Cylinder”: Transverse Aspect,2014,book-chapter,0.0,0,1,"Geography, Planning and Development","Erik W. Grafarend, Rey-Jer You, Rainer Syffus",10.1007/978-3-642-36494-5_11
Social Sciences,3,W2184041237,Tittel på avhandlingen Undertittel på avhandlingen,2012,article,0.0,0,0,Political Science and International Relations,Øystein Tråsdahl,
Social Sciences,4,W2203603201,“Sphere to Cylinder”: Pseudo-Cylindrical Projections,2014,book-chapter,0.0,0,0,"Geography, Planning and Development","Erik W. Grafarend, Rey-Jer You, Rainer Syffus",10.1007/978-3-642-36494-5_13
Social Sciences,5,W2215812709,“Sphere to Cylinder”: Oblique Aspect,2014,book-chapter,0.0,0,0,"Geography, Planning and Development","Erik W. Grafarend, Rey-Jer You, Rainer Syffus",10.1007/978-3-642-36494-5_12
Social Sciences,6,W2219401023,“Sphere to Cylinder”: Polar Aspect,2014,book-chapter,0.0,0,0,"Geography, Planning and Development","Erik W. Grafarend, Rey-Jer You, Rainer Syffus",10.1007/978-3-642-36494-5_10
Earth and Planetary Sciences,1,W2027915740,The contact angle in capillarity,2006,article,3.2589,1,60,Atmospheric Science,Robert Finn,10.1063/1.2185655
Earth and Planetary Sciences,2,W2963173568,On the Uniqueness of Vortex Equations and Its Geometric Applications,2018,article,2.5648,0,17,Oceanography,"Qiongling Li, Qiongling Li",10.1007/s12220-018-9981-x
Earth and Planetary Sciences,3,W2065862916,The shapes of first-stage sinters,1989,article,2.2663,0,28,Atmospheric Science,"François G. Amar, Julius Jellinek, J. Bernholc",10.1063/1.342674
Earth and Planetary Sciences,4,W28451638,Optimal Map Projections by Variational Calculus: Harmonic Maps,2014,book-chapter,0.924,0,2,Oceanography,"Erik W. Grafarend, Rey-Jer You, Rainer Syffus",10.1007/978-3-642-36494-5_22
Earth and Planetary Sciences,5,W1529287174,Equivariant Deformations of Horospherical Surfaces,2010,article,0.296,0,1,Oceanography,Michael Deutsch,10.7936/k7dr2skf
Earth and Planetary Sciences,6,W2094658998,Shapes of completely wetted two-dimensional powder compacts for applications to sintering,1992,article,0.2912,0,3,Atmospheric Science,"J. Christian Schön, Richard Frost, Jamie Lawson",10.1063/1.350973
Arts and Humanities,1,W2153388310,"Falaco Solitons, Cosmological strings in swimming pool. Update of arXiv/gr-qc/0101098",2006,article,2.7209,1,1,Philosophy,R. M. Kiehn,
Arts and Humanities,2,W2097063601,"Falaco Solitons, Cosmological strings in swimming pool.",2005,article,0.0,0,2,Philosophy,R. M. Kiehn,
Arts and Humanities,3,W2135956548,EMBEDDED MINIMAL SURFACES OF FINITE TOPOLOGY AND ONE END,2009,article,0.0,0,0,Philosophy,Christine Breiner,
Arts and Humanities,4,W9467931,A Laboratory for Geometric Performance 1,1999,article,0.0,0,0,Visual Arts and Performing Arts,Sha Xin Wei,10.1016/s0040-8166(97)80046-8
Arts and Humanities,5,W4386139101,Copyright Page,2023,paratext,,,0,History,,10.1093/oso/9780192872616.002.0003
"Biochemistry, Genetics and Molecular Biology",1,W2612605708,Gaussian curvature directs the distribution of spontaneous curvature on bilayer membrane necks,2018,article,1.9844,0,39,Molecular Biology,"Morgan Chabanon, Padmini Rangamani",10.1039/c8sm00035b
"Biochemistry, Genetics and Molecular Biology",2,W2112838653,Electrostatic colloid-membrane binding,2004,article,0.2395,0,54,Molecular Biology,"Christian Fleck, Roland R. Netz, Roland R. Netz",10.1209/epl/i2004-10068-x
"Biochemistry, Genetics and Molecular Biology",3,W2032676329,Hedgehogs and area of order 2,1996,article,0.0,0,4,Molecular Biology,Yves Martinez‐Maure,10.1007/bf01268931
"Biochemistry, Genetics and Molecular Biology",4,W2131425046,A new protein folding algorithm based on hydrophobic compactness: Rigid Unconnected Secondary Structure Iterative Assembly (RUSSIA). II: Applications,2003,article,0.0,0,3,Molecular Biology,"Denis Znamenskiy, Denis Znamenskiy, Denis Znamenskiy",10.1093/protein/gzg141
(no field),1,W4233857576,,1994,paratext,,,0,,,10.1090/qam/1994-52-01
(no field),2,W4236522220,Bibliography,2004,paratext,,,0,,,10.1016/s1874-7051(01)80014-1
(no field),3,W4248074405,Bibliography,2016,paratext,,,0,,,10.1016/b978-0-12-804489-6.50025-2
(no field),4,W4254351106,Bibliography,1994,paratext,,,0,,,10.1016/b978-0-12-464990-3.50017-7
Environmental Science,1,W2999050204,On virus growth and form,2020,article,14.2229,1,157,Ecology,"Roya Zandi, Bogdan Dragnea, Alex Travesset",10.1016/j.physrep.2019.12.005
Environmental Science,2,W2976057645,A estruturação do saber relacionado a geometria complexa e a modelagem paramétrica de estruturas regenerativas na arquitetura,2019,article,0.0,0,1,"Management, Monitoring, Policy and Law","Janice de Freitas Pires, Alice Theresinha Cybis Pereira",10.11606/gtp.v14i1.148024
Environmental Science,3,W4240373209,Libro de resúmenes del ECI 2015 de invierno,2020,article,0.0,0,0,Global and Planetary Change,,10.33017/recytperu2015.0002/
Chemistry,1,W2002021482,Triply periodic minimal surfaces decorated with curved graphite,1993,article,2.3658,0,59,Organic Chemistry,"Humberto Terrones, Alan L. Mackay",10.1016/0009-2614(93)85009-d
Chemistry,2,W2006894956,Polymerization in the cubic phase and studies of phase behavior in two nonionic surfactant-water-acrylamide systems,1992,article,0.3347,0,9,Organic Chemistry,Pelle Ström,10.1016/0021-9797(92)90091-y
Chemistry,3,W2009242770,Differential geometric theory of capillarity,1996,article,0.3212,0,7,Organic Chemistry,J. Gaydos,10.1016/0927-7757(96)03591-1
Health Professions,1,W3026088860,XROMM and diceCT reveal a hydraulic mechanism of tongue base retraction in swallowing,2020,article,6.3158,1,45,Speech and Hearing,"Courtney P. Orsbon, Nicholas J. Gidmark, Nicholas J. Gidmark",10.1038/s41598-020-64935-z
Health Professions,2,W2493896240,Soap Films: The Amusement of Children and Mathematicians,1996,book-chapter,0.0,0,0,Health Information Management,"Stefan Hildebrandt, Anthony J. Tromba",10.1007/978-1-4612-2424-2_6
Medicine,1,W1607196095,Towards a classification of CMC-1 Trinoids in hyperbolic space via conjugate surfaces,2003,preprint,,,0,"Radiology, Nuclear Medicine and Imaging",Andreas Balser,10.48550/arxiv.math/0310397
Medicine,2,W4205537050,Faculty Opinions recommendation of Heart wall myofibers are arranged in minimal surfaces to optimize organ function.,2012,peer-review,,,0,Surgery,"Elisa Konofagou, Fabrice Marquet",10.3410/f.717953919.793459618
"Economics, Econometrics and Finance",1,W1612200372,Brownian motion and the parabolicity of minimal graphs,2008,preprint,,,6,Finance,Robert W. Neel,10.48550/arxiv.0810.0669
