field,title,doi,openalex_id,s2_matched,s2_fields,tldr,oa_pdf_url
Materials Science,"Capillary models for liquid crystal fibers, membranes, films, and drops",10.1039/b704248p,W2011393615,True,"Materials Science, Medicine","The capillary models are used to analyze the structure and stability of films, membranes, fibers, and drops, of direct relevance to the processing and performance of structural and functional liquid crystals.",
Materials Science,Heart wall myofibers are arranged in minimal surfaces to optimize organ function,10.1073/pnas.1120785109,W2169776346,True,"Medicine, Physics",The generalized helicoid provides a unique foundation for analyzing the fibrous composite of the heart wall and should therefore find applications in heart tissue engineering and in the study of heart muscle diseases.,https://www.pnas.org/content/pnas/109/24/9248.full.pdf
Materials Science,Bicontinuous Cubic Morphologies in Block Copolymers and Amphiphile/Water Systems:  Mathematical Description through the Minimal Surfaces,10.1021/ma9614353,W2044735577,True,Chemistry,,
Materials Science,The Laplace equation of capillarity,10.1016/s1383-7303(98)80018-5,W1598887706,True,Physics,The chapter provides a generalization of the classical Young–Laplace equation that is completely second-order in the principal curvatures and also provides numerical examples of the influence of first-order bending energy effects upon the shape of axisymmetric pendant or sessile drops.,
Social Sciences,C 10(3): The Ten Parameter Conformal Group as a Datum Transformation in Three-Dimensional Euclidean Space,10.1007/978-3-642-36494-5_24,W36637537,True,Mathematics,,
Social Sciences,“Sphere to Cylinder”: Transverse Aspect,10.1007/978-3-642-36494-5_11,W80732947,True,Mathematics,,
Social Sciences,“Sphere to Cylinder”: Pseudo-Cylindrical Projections,10.1007/978-3-642-36494-5_13,W2203603201,True,Mathematics,,
Social Sciences,“Sphere to Cylinder”: Oblique Aspect,10.1007/978-3-642-36494-5_12,W2215812709,True,Mathematics,,
Social Sciences,“Sphere to Cylinder”: Polar Aspect,10.1007/978-3-642-36494-5_10,W2219401023,True,Mathematics,,
Earth and Planetary Sciences,The contact angle in capillarity,10.1063/1.2185655,W2027915740,True,Physics,,
Earth and Planetary Sciences,On the Uniqueness of Vortex Equations and Its Geometric Applications,10.1007/s12220-018-9981-x,W2963173568,True,,,https://pure.au.dk/ws/files/120023129/on_the_uniqueness_of_vortex_equations_and_its_geometric_applications.pdf
Earth and Planetary Sciences,The shapes of first-stage sinters,10.1063/1.342674,W2065862916,True,Physics,,https://pubs.aip.org/aip/jap/article-pdf/65/8/3219/8007550/3219_1_online.pdf
Earth and Planetary Sciences,Optimal Map Projections by Variational Calculus: Harmonic Maps,10.1007/978-3-642-36494-5_22,W28451638,True,Mathematics,,
Earth and Planetary Sciences,Equivariant Deformations of Horospherical Surfaces,10.7936/k7dr2skf,W1529287174,True,Mathematics,,
Earth and Planetary Sciences,Shapes of completely wetted two-dimensional powder compacts for applications to sintering,10.1063/1.350973,W2094658998,True,Physics,,
Arts and Humanities,A Laboratory for Geometric Performance 1,10.1016/s0040-8166(97)80046-8,W9467931,True,"Biology, Medicine","While the apices of olfactory receptor and supporting cells and of ciliated respiratory cells underwent major morphological maturation during the developmental period from embryonic day 16 to day 21, the apical structures of the nasal hair cell only changed marginally, suggesting that it plays a special role in the development of nasal epithelia.",
Arts and Humanities,Copyright Page,10.1093/oso/9780192872616.002.0003,W4386139101,False,,,
"Biochemistry, Genetics and Molecular Biology",Gaussian curvature directs the distribution of spontaneous curvature on bilayer membrane necks,10.1039/c8sm00035b,W2612605708,False,,,
"Biochemistry, Genetics and Molecular Biology",Electrostatic colloid-membrane binding,10.1209/epl/i2004-10068-x,W2112838653,True,Physics,,https://arxiv.org/pdf/physics/0312121
"Biochemistry, Genetics and Molecular Biology",Hedgehogs and area of order 2,10.1007/bf01268931,W2032676329,True,Mathematics,,
"Biochemistry, Genetics and Molecular Biology",A new protein folding algorithm based on hydrophobic compactness: Rigid Unconnected Secondary Structure Iterative Assembly (RUSSIA). II: Applications,10.1093/protein/gzg141,W2131425046,True,"Medicine, Physics","The RUSSIA procedure (Rigid Unconnected Secondary Structure Iterative Assembly) produces structural models of cores of small- and medium-sized proteins, which appears to be robust relative to the quality of starting data (nature and length of regular secondary structures).",https://academic.oup.com/peds/article-pdf/16/12/937/4351870/gzg141.pdf
(no field),,10.1090/qam/1994-52-01,W4233857576,False,,,
(no field),Bibliography,10.1016/s1874-7051(01)80014-1,W4236522220,False,,,
(no field),Bibliography,10.1016/b978-0-12-804489-6.50025-2,W4248074405,False,,,
(no field),Bibliography,10.1016/b978-0-12-464990-3.50017-7,W4254351106,False,,,
Environmental Science,On virus growth and form,10.1016/j.physrep.2019.12.005,W2999050204,True,Physics,"The combination of discrete and continuum coarse grained mechanics, commonly used in the fundamental physical description of viruses, together with the pertinent description of generic long-range electrostatic and specific short-range interactions give insight into the details of structural order and mechanical properties of viruses and elucidates their role in nano-container and nano-machine functions.",https://www.sciencedirect.com/science/article/am/pii/S0370157320300016
Environmental Science,A estruturação do saber relacionado a geometria complexa e a modelagem paramétrica de estruturas regenerativas na arquitetura,10.11606/gtp.v14i1.148024,W2976057645,True,Computer Science,"The principles of regenerative architecture are recognized and the elements of knowledge that involve the recurrent complex geometries in nature are explained, which develops its structures in strict relation with the dynamics that are processed in the natural environment.",http://www.revistas.usp.br/gestaodeprojetos/article/download/148024/155953
Environmental Science,Libro de resúmenes del ECI 2015 de invierno,10.33017/recytperu2015.0002/,W4240373209,True,,,https://doi.org/10.33017/recytperu2015.0002/
Chemistry,Triply periodic minimal surfaces decorated with curved graphite,10.1016/0009-2614(93)85009-d,W2002021482,True,Materials Science,,
Chemistry,Polymerization in the cubic phase and studies of phase behavior in two nonionic surfactant-water-acrylamide systems,10.1016/0021-9797(92)90091-y,W2006894956,True,Materials Science,,
Chemistry,Differential geometric theory of capillarity,10.1016/0927-7757(96)03591-1,W2009242770,True,Materials Science,,
Health Professions,XROMM and diceCT reveal a hydraulic mechanism of tongue base retraction in swallowing,10.1038/s41598-020-64935-z,W3026088860,True,,"A novel hydraulic mechanism of TBR is suggested: shortening and rotation of suprahyoid muscles compresses the tongue between the hard palate, hyoid and mouth floor, squeezing the midline tongue base and food bolus back into the oropharynx.",https://www.nature.com/articles/s41598-020-64935-z.pdf
Health Professions,Soap Films: The Amusement of Children and Mathematicians,10.1007/978-1-4612-2424-2_6,W2493896240,True,Philosophy,,
Medicine,Towards a classification of CMC-1 Trinoids in hyperbolic space via conjugate surfaces,10.48550/arxiv.math/0310397,W1607196095,False,,,
Medicine,Faculty Opinions recommendation of Heart wall myofibers are arranged in minimal surfaces to optimize organ function.,10.3410/f.717953919.793459618,W4205537050,False,,,
"Economics, Econometrics and Finance",Brownian motion and the parabolicity of minimal graphs,10.48550/arxiv.0810.0669,W1612200372,False,,,
Social Sciences,Tittel på avhandlingen Undertittel på avhandlingen,,W2184041237,,,,
Arts and Humanities,"Falaco Solitons, Cosmological strings in swimming pool. Update of arXiv/gr-qc/0101098",,W2153388310,,,,
Arts and Humanities,"Falaco Solitons, Cosmological strings in swimming pool.",,W2097063601,,,,
Arts and Humanities,EMBEDDED MINIMAL SURFACES OF FINITE TOPOLOGY AND ONE END,,W2135956548,,,,
