openalex_id,title,year,cited_by_count,type,field,subfield,authors,doi
W2027915740,The contact angle in capillarity,2006,60,article,Earth and Planetary Sciences,Atmospheric Science,Robert Finn,10.1063/1.2185655
W2002021482,Triply periodic minimal surfaces decorated with curved graphite,1993,59,article,Chemistry,Organic Chemistry,"Humberto Terrones, Alan L. Mackay",10.1016/0009-2614(93)85009-d
W2014280214,"Index, vision number and stability of complete minimal surfaces",1990,59,paratext,Engineering,Computational Mechanics,Jaigyoung Choe,10.1007/bf00375088
W2166244928,Embedded minimal disks: Proper versus nonproper—global versus local,2003,57,article,Computer Science,Computational Theory and Mathematics,"Tobias Colding, William P. Minicozzi",10.1090/s0002-9947-03-03230-6
W2014531689,The structure of negatively curved spongy carbon,2003,56,article,Materials Science,Materials Chemistry,"G. Benedek, H. Vahedi Tafreshi, E. Barborini",10.1016/s0925-9635(03)00082-7
W2088920577,Toward giga-pixel nanoscopy on a chip: a computational wide-field look at the nano-scale without the use of lenses,2013,55,article,Physics and Astronomy,"Atomic and Molecular Physics, and Optics","Euan McLeod, Wei Luo, Onur Mudanyali",10.1039/c3lc50222h
W2112838653,Electrostatic colloid-membrane binding,2004,54,article,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,"Christian Fleck, Roland R. Netz",10.1209/epl/i2004-10068-x
W2085387171,Soap-film Möbius strip changes topology with a twist singularity,2010,52,article,Engineering,Computational Mechanics,"Raymond E. Goldstein, H. K. Moffatt, Adriana I. Pesci",10.1073/pnas.1015997107
W2074313127,The maximum principle at infinity for minimal surfaces in flat three manifolds,1990,49,article,Computer Science,Computational Theory and Mathematics,"William H. Meeks, Harold Rosenberg",10.1007/bf02566606
W1587541211,Computational Aspects of Discrete Minimal Surfaces,2002,46,article,Computer Science,Computer Graphics and Computer-Aided Design,Konrad Polthier,
W3026088860,XROMM and diceCT reveal a hydraulic mechanism of tongue base retraction in swallowing,2020,45,article,Health Professions,Speech and Hearing,"Courtney P. Orsbon, Nicholas J. Gidmark, Tingran Gao",10.1038/s41598-020-64935-z
W2076238636,Robust modeling of constant mean curvature surfaces,2012,43,article,Engineering,Computational Mechanics,"Hao Pan, Yi‐King Choi, Yang Liu",10.1145/2185520.2185581
W1481628252,Existence and behavior of the radial limits of a bounded capillary surface at a corner,1996,42,article,Computer Science,Computational Theory and Mathematics,"Kirk E. Lancaster, David Siegel",10.2140/pjm.1996.176.165
W2025123855,Extending minimal varieties,1975,40,article,Computer Science,Computational Theory and Mathematics,"Reese Harvey, Benjamin Lawson",10.1007/bf01425557
W1532474902,Adding Handles to Nadirashvili's Surfaces,2002,40,article,Materials Science,Materials Chemistry,"Francisco J. López, Francisco Martín, Santiago Morales",10.4310/jdg/1090351086
W2612605708,Gaussian curvature directs the distribution of spontaneous curvature on bilayer membrane necks,2018,39,article,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,"Morgan Chabanon, Padmini Rangamani",10.1039/c8sm00035b
W160600454,The Minimal Surface Equation,1997,37,book-chapter,Computer Science,Computational Theory and Mathematics,Leon Simon,10.1007/978-3-662-03484-2_5
W2028122516,An embedded genus-one helicoid,2009,37,article,Engineering,Computational Mechanics,"Matthias Weber, David Hoffman, Michael Wolf",10.4007/annals.2009.169.347
W3100447000,Topology and Signature Changes in Braneworlds,2004,37,other,Physics and Astronomy,Nuclear and High Energy Physics,"Gibbons, G W, Ishibashi, A",
W2012649741,A rigidity theorem for properly embedded minimal surfaces in ${\bf R}\sp 3$,1990,36,article,Computer Science,Computational Theory and Mathematics,"Hyeong In Choi, William H. Meeks, Brian White",10.4310/jdg/1214445037
W2000412615,Symmetry properties and explicit solutions of the generalized Weierstrass system,2001,35,article,Physics and Astronomy,Statistical and Nonlinear Physics,"Paul Bracken, A. M. Grundland",10.1063/1.1337796
W2054314535,The Weierstrass–Enneper system for constant mean curvature surfaces and the completely integrable sigma model,1999,33,article,Physics and Astronomy,Statistical and Nonlinear Physics,"Paul Bracken, A. M. Grundland, L. Martina",10.1063/1.532894
W1496664306,Polyhedral Surfaces of Constant Mean Curvature,2002,32,article,Computer Science,Computer Graphics and Computer-Aided Design,Konrad Polthier,
W1878245702,Quasi-harmonic Bézier approximation of minimal surfaces for finding forms of structural membranes,2015,31,article,Engineering,Computational Mechanics,"Gang Xu, Timon Rabczuk, Erhan Güler",10.1016/j.compstruc.2015.09.002
W2093494429,"Minimal surfaces, corners, and wires",1992,31,article,Engineering,Mechanics of Materials,Kenneth A. Brakke,10.1007/bf02921333
W1889485559,Surfaces immersed in Lie algebras obtained from the sigma models,2006,31,article,Physics and Astronomy,Statistical and Nonlinear Physics,"A. M. Grundland, Aleksander Strasburger, W. J. Zakrzewski",10.1088/0305-4470/39/29/013
W1969115958,Quintic parametric polynomial minimal surfaces and their properties,2010,30,article,Engineering,Computational Mechanics,"Gang Xu, Guozhao Wang",10.1016/j.difgeo.2010.07.003
W2090849794,Index and Flat Ends of Minimal Surfaces,1993,30,paratext,Engineering,Computational Mechanics,"Norio Ejiri, Motoko Kotani",10.3836/tjm/1270128981
W2076649074,Harmonic Shears of Regular Polygons by Hypergeometric Functions,1999,29,article,Engineering,Computational Mechanics,"Kathy Driver, Peter Duren",10.1006/jmaa.1999.6544
W2269313178,"Band structure of the P, D, and G surfaces",2005,29,article,Physics and Astronomy,Statistical and Nonlinear Physics,"Nobuhisa Fujita, Osamu Terasaki",10.1103/physrevb.72.085459
W2005684646,Non-continuous dependence of surfaces of least area on the boundary curve,1977,29,article,Engineering,Computational Mechanics,Michael Beeson,10.2140/pjm.1977.70.11
W2068494517,ON A NEW APPROACH TO BERNSTEIN'S THEOREM AND RELATED QUESTIONS FOR EQUATIONS OF MINIMAL SURFACE TYPE,1980,28,article,Computer Science,Computational Theory and Mathematics,V M Mikljukov,10.1070/sm1980v036n02abeh001805
W2954373213,Microstructural characteristics of bijel-templated porous materials,2019,28,article,Materials Science,Materials Chemistry,"Kyle M. McDevitt, Todd J. Thorson, Elliot L. Botvinick",10.1016/j.mtla.2019.100393
W2065862916,The shapes of first-stage sinters,1989,28,article,Earth and Planetary Sciences,Atmospheric Science,"François G. Amar, J. Bernholc, R. Stephen Berry",10.1063/1.342674
W1508586398,Three dimensional object modeling via minimal surfaces,1996,28,conference-paper,Engineering,Computational Mechanics,"Vicent Caselles, Ron Kimmel, Guillermo Sapiro",10.1007/bfb0015526
W1850664221,Bézier surfaces of minimal area,2002,28,conference-paper,Engineering,Computational Mechanics,"Claudio P. Cosin, J. Monterde",10.1007/3-540-46080-2_8
W1576882143,The Plateau-Bézier Problem,2003,26,conference-paper,Engineering,Computational Mechanics,J. Monterde,10.1007/978-3-540-39422-8_18
W2032878597,Computational methods for tension-loaded structures,2004,25,article,Engineering,Civil and Structural Engineering,Thouraya Nouri-Baranger,10.1007/bf02905937
W2028830764,<i>In situ</i> observation of a soap-film catenoid—a simple educational physics experiment,2010,24,article,Computer Science,Computer Vision and Pattern Recognition,"Masato Ito, Taku Sato",10.1088/0143-0807/31/2/013
W2026783245,On the existence of capillary free surfaces in the absence of gravity,1980,24,article,Engineering,Aerospace Engineering,Jin-Tzu Chen,10.2140/pjm.1980.88.323
W2069107272,Giant leaps and minimal branes in multidimensional flux landscapes,2011,23,article,Physics and Astronomy,Nuclear and High Energy Physics,"Adam R. Brown, Alex Dahlen",10.1103/physrevd.84.023513
W1992056516,Heat conduction in a solid slab embedded with a pipe of general cross-section: Shape Factor and Shape Optimization,2008,22,article,Engineering,Mechanics of Materials,Marios M. Fyrillas,10.1016/j.ijengsci.2008.03.004
W3034142507,Revisiting thin film of glassy carbon,2020,22,article,Materials Science,Materials Chemistry,"Hatem Diaf, A. Pereira, P. Mélinon",10.1103/physrevmaterials.4.066002
W2006682105,Higher genus minimal surfaces by growing handles out of a catenoid,1991,22,article,Engineering,Computational Mechanics,Meinhard Wohlgemuth,10.1007/bf02568387
W104100642,Bernstein theorems for harmonic morphisms,1987,22,article,Computer Science,Computational Theory and Mathematics,Paul Baird,
W1565927722,Uniqueness theorems for minimal surfaces,1981,22,article,Engineering,Computational Mechanics,William H. Meeks,10.1215/ijm/1256047265
W1993586697,High order numerical approximation of minimal surfaces,2011,21,article,Engineering,Computational Mechanics,"Øystein Tråsdahl, Einar M. Rønquist",10.1016/j.jcp.2011.03.003
W2004039334,"Variational minimization on string-rearrangement surfaces, illustrated by an analysis of the bilinear interpolation",2014,21,article,Engineering,Computational Mechanics,"Daud Ahmad, Bilal Masud",10.1016/j.amc.2014.01.172
W2171247766,Plateau’s problem in Finsler 3-space,2013,20,article,Physics and Astronomy,Astronomy and Astrophysics,"Patrick Overath, Heiko von der Mosel",10.1007/s00229-013-0626-x
W2789770516,Polymer Structures with the Topology of Triply Periodic Minimal Surfaces,2017,20,article,Materials Science,General Materials Science,"V. Ya. Shevchenko, М. М. Сычев, А. Е. Лапшин",10.1134/s1087659617060177
W2202690299,QCD strings as a constrained Grassmannian σ model,1995,20,article,Physics and Astronomy,Nuclear and High Energy Physics,"K. S. Viswanathan, R. Parthasarathy",10.1103/physrevd.51.5830
W1666718704,"Falaco Solitons, Cosmic Strings in a Swimming Pool",2001,18,preprint,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",R. M. Kiehn,10.48550/arxiv.gr-qc/0101098
W2963173568,On the Uniqueness of Vortex Equations and Its Geometric Applications,2018,17,article,Earth and Planetary Sciences,Oceanography,Qiongling Li,10.1007/s12220-018-9981-x
W1985310087,On Two Methods for Approximating Minimal Surfaces in Parametric Form,1986,17,article,Engineering,Computational Mechanics,Takuya Tsuchiya,10.2307/2007990
W2037993908,Construction of $n$-end catenoids with prescribed flux,1995,17,article,Engineering,Electrical and Electronic Engineering,Shin Kato,10.2996/kmj/1138043356
W2414125767,Computational Methods for Riemann Surfaces and Helicoids with Handles,2005,16,dissertation,Engineering,Computational Mechanics,Markus Schmies,10.14279/depositonce-1199
W2052607455,Minimal quasi-Bézier surface,2012,16,article,Engineering,Computational Mechanics,"Yong-Xia Hao, Ren-Hong Wang, Chong–Jun Li",10.1016/j.apm.2012.01.040
W2069786434,Complex Trkalian fields and solutions to Euler’s equations for the ideal fluid,1995,16,article,Physics and Astronomy,Statistical and Nonlinear Physics,"Philip R. Baldwin, Gregory Townsend",10.1103/physreve.51.2059
W2085608050,A Family of Singly Periodic Minimal Surfaces Invariant under a Screw Motion,1993,16,article,Computer Science,Computational Theory and Mathematics,"Michael J. Callahan, David Hoffman, Hermann Karcher",10.1080/10586458.1993.10504276
W4304689837,Mechanical properties of mortar beams reinforced by gyroid 3D printed plastic spatial elements,2022,15,article,Engineering,Building and Construction,"Aneta Skoratko, Tomasz Szatkiewicz, Jacek Katzer",10.1016/j.cemconcomp.2022.104809
W2516970170,Minimal surfaces of finite type,1995,15,article,Engineering,Computational Mechanics,Harold Rosenberg,10.24033/bsmf.2263
W4243953089,On two methods for approximating minimal surfaces in parametric form,1986,15,article,Engineering,Computational Mechanics,Takuya Tsuchiya,10.1090/s0025-5718-1986-0829622-1
W3101565455,Pinning of diffusional patterns by non-uniform curvature,2020,15,preprint,Physics and Astronomy,Condensed Matter Physics,"John R. Frank, Jemal Guven, Mehran Kardar",
W2295093743,Capillary bridge: Transition from equilibrium to hydrodynamic state,2016,14,article,Engineering,Computational Mechanics,"B. Radoev, Ivan T. Ivanov, Plamen Petkov",10.1016/j.colsurfa.2016.01.040
W2107417219,Topological constraints and their breakdown in dynamical evolution,2012,14,article,Physics and Astronomy,"Atomic and Molecular Physics, and Optics","Raymond E. Goldstein, H. K. Moffatt, Adriana I. Pesci",10.1088/0951-7715/25/10/r85
W2795409613,Isogeometric analysis of minimal surfaces on the basis of extended Catmull–Clark subdivision,2018,14,article,Engineering,Computational Mechanics,"Qing Pan, Timon Rabczuk, Chong Chen",10.1016/j.cma.2018.03.040
W2518120395,On solutions of the exterior Dirichlet problem for the minimal surface equation,1993,14,article,Computer Science,Computational Theory and Mathematics,Ernst Kuwert,10.1016/s0294-1449(16)30211-6
W1552358399,Parametric Polynomial Minimal Surfaces of Degree Six with Isothermal Parameter,2008,14,conference-paper,Engineering,Computational Mechanics,"Gang Xu, Guozhao Wang",10.1007/978-3-540-79246-8_25
W1973849550,Shape optimization for 2D diffusive scalar transport,2008,13,article,Computer Science,Computational Theory and Mathematics,Marios M. Fyrillas,10.1007/s11081-008-9071-1
W2087724103,A Coons Patch Spanning a Finite Number of Curves Tested for Variationally Minimizing Its Area,2013,13,article,Engineering,Computational Mechanics,"Daud Ahmad, Bilal Masud",10.1155/2013/645368
W2744787348,The infinitesimal variation of the spin abelian differentials and periodic minimal surfaces,1998,13,article,Computer Science,Computational Theory and Mathematics,Gian Pietro Pirola,10.4310/cag.1998.v6.n3.a1
W1631672151,Solving period problems for minimal surfaces with the support function,2008,13,preprint,Computer Science,Computational Theory and Mathematics,"Valerio Ramos-Batista, Frank Baginski",10.48550/arxiv.0806.4179
W2135884627,An embedded genus-one helicoid,2005,13,article,Engineering,Computational Mechanics,"Matthias Weber, David Hoffman, Michael Wolf",10.1073/pnas.0508008102
W2040709692,Heisenberg spins on a bilayer connected by a neck and other geometries with a characteristic length scale,2010,12,article,Physics and Astronomy,Condensed Matter Physics,"Rossen Dandoloff, Avadh Saxena",10.1088/1751-8113/44/4/045203
W2570279590,Dynamics of Symplectic Subvolumes,2009,12,article,Physics and Astronomy,Statistical and Nonlinear Physics,"Jared M. Maruskin, Daniel J. Scheeres, Anthony M. Bloch",10.1137/070697938
W4249420768,The Asymptotic Behavior of Properly Embedded Minimal Surfaces of Finite Topology,1989,12,article,Computer Science,Computational Theory and Mathematics,"David Hoffman, William H. Meeks",10.2307/1990892
W2001527308,Shapes of wetted solids and sinters,1991,12,article,Engineering,Computational Mechanics,"P. Basa, J. Christian Schön, R. Stephen Berry",10.1103/physrevb.43.8113
W3122664835,Quasiclassical generalized Weierstrass representation and Dispersionless Ds Equation,2007,12,preprint,Physics and Astronomy,Statistical and Nonlinear Physics,B.G. Konopelchenko,
W168724759,The Topological Background of Schwarzite Physics,2010,11,book-chapter,Materials Science,Materials Chemistry,"G. Benedek, Marco Bernasconi, Eugenio Cinquanta",10.1007/978-94-007-0221-9_12
W2335550089,Concentration of CMC Surfaces in a 3-manifold,2012,11,article,Computer Science,Computational Theory and Mathematics,Paul Laurain,10.1093/imrn/rnr259
W2607349897,Isogeometric finite element approximation of minimal surfaces based on extended loop subdivision,2017,11,article,Engineering,Computational Mechanics,"Qing Pan, Chong Chen, Guoliang Xu",10.1016/j.jcp.2017.04.030
W1598887706,The Laplace equation of capillarity,1998,11,book-chapter,Materials Science,"Surfaces, Coatings and Films",J. Gaydos,10.1016/s1383-7303(98)80018-5
W2092645959,Scherk-Type Capillary Graphs,2005,11,article,Engineering,Aerospace Engineering,"Robert Huff, John McCuan",10.1007/s00021-004-0140-8
W2964344762,The Weierstrass—Enneper representation using hodographic coordinates on a minimal surface,2003,11,article,Physics and Astronomy,Statistical and Nonlinear Physics,Rukmini Dey,10.1007/bf02829769
W2735415550,Minimal surfaces in a wedge of a slab,2001,11,article,Engineering,Biomedical Engineering,"Francisco J. López, Francisco Martín",10.4310/cag.2001.v9.n4.a2
W142610500,The Minimal Surface Equation,1984,10,book-chapter,Computer Science,Computational Theory and Mathematics,Robert Osserman,10.1007/978-1-4612-1110-5_13
W2114630524,Solutions of the Generalized Weierstrass Representation in Four-Dimensional Euclidean Space,2002,10,article,Physics and Astronomy,Nuclear and High Energy Physics,"Paul Bracken, A. M. Grundland",10.2991/jnmp.2002.9.3.8
W2090166146,Instantons and minimal surfaces,1978,10,article,Physics and Astronomy,Nuclear and High Energy Physics,Alain Comtet,10.1103/physrevd.18.3890
W2963428057,Invariant recurrence relations for CP^(N-1) models,2009,10,preprint,Physics and Astronomy,Statistical and Nonlinear Physics,"P. P. Goldstein, Grundland, A. M.",10.48550/arxiv.0910.0624
W2024574109,Crystallographic aspects of the Bonnet transformation for periodic minimal surfaces (and crystals of films),1993,9,article,Materials Science,Materials Chemistry,"C. Oguey, Jean‐François Sadoc",10.1051/jp1:1993166
W2064891064,Optimum isothermal surfaces that maximize heat transfer,2013,9,article,Engineering,Mechanical Engineering,"Theodoros Leontiou, Marios Kotsonis, Marios M. Fyrillas",10.1016/j.ijheatmasstransfer.2013.02.078
W2529884580,Boundedness of the total energy of relativistic membranes evolving in a curved spacetime,2018,9,article,Physics and Astronomy,Astronomy and Astrophysics,"Philippe G. LeFloch, Changhua Wei",10.1016/j.jde.2018.02.032
W2009415472,An approximation method based on MRA for the quasi-Plateau problem,2013,9,article,Engineering,Computational Mechanics,"Yong-Xia Hao, Chong–Jun Li, Ren-Hong Wang",10.1007/s10543-012-0412-2
W2047952726,Near-stability of a quasi-minimal surface indicated through a tested curvature algorithm,2015,9,article,Engineering,Computational Mechanics,"Daud Ahmad, Bilal Masud",10.1016/j.camwa.2015.03.015
W1984975845,The wetted solid—A generalization of the Plateau problem and its implications for sintered materials,1990,9,article,Engineering,Biomedical Engineering,"Peter Salamon, J. Bernholc, R. Stephen Berry",10.1063/1.529031
W2006894956,Polymerization in the cubic phase and studies of phase behavior in two nonionic surfactant-water-acrylamide systems,1992,9,article,Chemistry,Organic Chemistry,Pelle Ström,10.1016/0021-9797(92)90091-y
W2058364295,Phragmén-Lindelöf theorem for the minimal surface equation,1988,9,article,Computer Science,Computational Theory and Mathematics,Jenn-Fang Hwang,10.1090/s0002-9939-1988-0964864-x
W1992314389,Properties of properly embedded minimal surfaces of finite topology,1987,9,article,Engineering,Computational Mechanics,"David Hoffman, William H. Meeks",10.1090/s0273-0979-1987-15566-2
W2152323755,Infinite Periodic Discrete Minimal Surfaces Without Self-Intersections,2004,9,preprint,Engineering,Computational Mechanics,Wayne Rossman,10.48550/arxiv.math/0410314
W3038126347,Soliton spheres,2011,8,article,Physics and Astronomy,Statistical and Nonlinear Physics,"Christoph Bohle, Gunnar Peters",10.1090/s0002-9947-2011-05323-7
W2163551316,MINIMAL SUREACES WITH PLANAR BOUNDARY CURVES,1998,8,article,Computer Science,Computational Theory and Mathematics,Wayne Rossman,10.2206/kyushujm.52.209
W2338013497,The use of Delaunay curves for the wetting of axisymmetric bodies,1994,8,article,Engineering,Civil and Structural Engineering,"P. Basa, J. Christian Schön, Peter Salamon",10.1090/qam/1262313
W3193697283,Variationally Improved Bézier Surfaces with Shifted Knots,2021,8,article,Engineering,Computational Mechanics,"Daud Ahmad, Kanwal Hassan, Muhammad Khalid Mahmood",10.1155/2021/9978633
W107116545,Affine maximal surfaces and harmonic functions,1989,8,book-chapter,Engineering,Computational Mechanics,An-Min Li,10.1007/bfb0087530
W1977295241,An identity for T-ordered exponentials with applications to quantum mechanics,1976,8,article,Physics and Astronomy,Statistical and Nonlinear Physics,Enrico Onofri,10.1016/0003-4916(76)90172-x
W2037672300,WETTING PHENOMENA AND CONSTANT MEAN CURVATURE SURFACES WITH BOUNDARY,2005,8,article,Computer Science,Computational Theory and Mathematics,Rafael López,10.1142/s0129055x05002443
W4240616095,Some New Examples of Nonorientable Minimal Surfaces,1986,8,article,Engineering,Computational Mechanics,M. Elisa G. G. de Oliveira,10.2307/2045740
W1847534326,"Instability Patterns, Wakes and Topological Limit Sets",1993,8,book-chapter,Engineering,Computational Mechanics,R. M. Kiehn,10.1007/978-94-011-2098-2_30
W2027467037,Bifurkation von Minimalfl�chen und elementare Katastrophen,1986,8,article,Earth and Planetary Sciences,Earth-Surface Processes,Joachim B�ch,10.1007/bf01186648
W2112850604,Korteweg–de Vries surfaces,2013,7,article,Physics and Astronomy,Statistical and Nonlinear Physics,"Metin Gürses, Süleyman Tek",10.1016/j.na.2013.08.025
W2038872184,Maximum Principles for vectorial approximate minimizers of nonconvex functionals,2012,7,article,Computer Science,Computational Theory and Mathematics,Nikolaos I. Katzourakis,10.1007/s00526-012-0491-6
W1968693256,Compact and progressive plant models for streaming in networked virtual environments,2009,7,article,Computer Science,Computer Graphics and Computer-Aided Design,"Sébastien Mondet, Wei Cheng, Géraldine Morin",10.1145/1556134.1556138
W2009242770,Differential geometric theory of capillarity,1996,7,article,Chemistry,Organic Chemistry,J. Gaydos,10.1016/0927-7757(96)03591-1
W2033012945,New rigid string instantons in R4,1996,7,article,Physics and Astronomy,Nuclear and High Energy Physics,Jacek Pawełczyk,10.1016/0370-2693(96)01041-6
W2045449292,ON ISOCONCENTRATION SURFACES OF THREE-DIMENSIONAL TURING PATTERNS,2008,7,article,Computer Science,Computer Networks and Communications,"Tilmann Glimm, H. G. E. Hentschel",10.1142/s0218127408020355
W4245965782,The Computer-Aided Discovery of New Embedded Minimal Surfaces,2001,7,book-chapter,Engineering,Computational Mechanics,David Hoffman,10.1007/978-1-4613-0195-0_31
W2330474081,Konstruktion vollständiger Minimalflächen von endlicher Gesamtkrümmung,1977,7,article,Engineering,Computational Mechanics,"Fritz Gackstatter, Rainer Kunert",10.1007/bf00280446
W2004303537,Hartman–Wintner’s theorem and its applications,2011,6,article,Computer Science,Computational Theory and Mathematics,Naoya Ando,10.1007/s00526-011-0415-x
W1987314264,On certain geometric aspects of CPN harmonic maps,2002,6,article,Physics and Astronomy,Statistical and Nonlinear Physics,"A. M. Grundland, W. J. Zakrzewski",10.1063/1.1534384
W2319278757,Elementary Characterization of Classical Minima,1981,6,article,Physics and Astronomy,Statistical and Nonlinear Physics,"William J. Hrusa, John L. Troutman",10.1080/00029890.1981.11995262
W2800315281,Wire cut of double-sided minimal surfaces,2018,6,article,Engineering,Computational Mechanics,"Hao Hua, Tingli Jia",10.1007/s00371-018-1548-0
W1982971132,Minimal harmonic graphs and their Lorentzian cousins,2008,6,article,Engineering,Computational Mechanics,"Young Wook Kim, Hyung Yong Lee, Seong-Deog Yang",10.1016/j.jmaa.2008.12.025
W2256304608,Minimizing curvature variation for aesthetic surface design,2008,6,article,Engineering,Computational Mechanics,"Carlo H. Séquin, Pushkar Joshi",
W2476202865,Outline of the Generalized Theory of Capillarity,2010,6,book-chapter,Engineering,Mechanical Engineering,"J. Gaydos, Y. Rotenberg, Pu Chen",10.1201/ebk0849396878-2
W146159325,The Construction of Families of Embedded Minimal Surfaces,1987,6,book-chapter,Computer Science,Computational Theory and Mathematics,David Hoffman,10.1007/978-1-4612-4656-5_3
W1612200372,Brownian motion and the parabolicity of minimal graphs,2008,6,preprint,"Economics, Econometrics and Finance",Finance,Robert W. Neel,10.48550/arxiv.0810.0669
W2767004624,Translation Surfaces and Isotropic Transport Nets on Rational Minimal Surfaces,2017,6,conference-paper,Engineering,Computational Mechanics,"Jan Vršek, Miroslav Lávička",10.1007/978-3-319-67885-6_10
W2795015079,Quasi-Harmonic Constraints for Toric Bézier Surfaces,2018,6,preprint,Engineering,Computational Mechanics,"Daud Ahmad, Saba Naeem",10.48550/arxiv.1803.09328
W3101628551,Kaluza-Klein Vortices,2000,6,other,Physics and Astronomy,Nuclear and High Energy Physics,"Onemli, V K, Tekin, B",
W4403856137,Bending-neutral deformations of minimal surfaces,2024,5,article,Engineering,Mechanical Engineering,"André M. Sonnet, Epifanio G. Virga",10.1098/rspa.2024.0394
W1694433505,On the growth of solutions to the minimal surface equation over domains containing a halfplane,2015,5,article,Computer Science,Computational Theory and Mathematics,"Erik Lundberg, Allen Weitsman",10.1007/s00526-015-0908-0
W2202057159,Form-finding software and minimal surface equation: A comparative approach,2015,5,article,Engineering,Civil and Structural Engineering,"Jana Lipkovski, Aleksandar Lipkovski",10.2298/fil1510447l
W2550909317,Multiphase and Multicomponent Flows,2016,5,book-chapter,Engineering,Computational Mechanics,"Timm Krüger, Halim Kusumaatmaja, Alexandr Kuzmin",10.1007/978-3-319-44649-3_9
W2963278585,Modeling of Minimal Surface Based on an Isotropic Bezier Curve of Fifth Order,2019,5,article,Engineering,Computational Mechanics,"Marin Drinov Academic Publishing House, Nataliia Ausheva, V. I. Olevskyi",10.7546/jgsp-52-2019-1-15
W2083946748,Stationary surfaces in Minkowski spaces. I. A representation formula,1993,5,article,Physics and Astronomy,Astronomy and Astrophysics,Jiangfan Li,10.2140/pjm.1993.158.353
