openalex_id,title,year,authors,doi,own_field,field_rarity,cited_by_count,fwci,citation_pctile,top_10_percent,gen2_total,gen2_same_field,same_field_fraction,abstract,tldr
W4386139171,Mathematical Physics with Differential Equations,2023,"Yisong Yang, Yisong Yang",10.1093/oso/9780192872616.001.0001,Physics and Astronomy,82,5,37.4,0.99598823,1,5,5,1.0,"Abstract This book presents a broad range of fundamental topics in theoretical and mathematical physics based on the viewpoint of differential equations. The subject areas covered include classical and quantum many-body problems, thermodynamics, electromagnetism, magnetic monopoles, special relativity, gauge field theories, general relativity, superconductivity, vortices and other topological solitons, and canonical quantization of fields, for which, knowledge and use of linear and nonlinear differential equations are essential for comprehension. With insight of differential equations, the book features itself in several aspects. Firstly, the presentation of the content follows a mathematically thorough and transparent style which serves to provide a handy and direct access to approach each of the subjects discussed. Secondly, it renders a fairly wide selection of themes which may further be tailored to suit individual preferences of a reader. Thirdly, it supplies a balanced pool of topics for seminars. Fourthly, it offers guidance and stimulation to the related contemporary research frontiers and literature. Much emphasis is given to the mathematical and physical content, implication, structures, and challenges of the governing differential equations of the theories encountered and developed, thus offering an appreciation of the interplay of mathematics and theoretical physics from the viewpoint of differential equations. On the other hand, advanced methods and techniques of modern nonlinear functional analysis are kept minimal. The book is comprised of fifteen topic chapters and an appendices chapter. Each chapter is supplemented with a collection of exercises of varied depths.",
W2002168123,"Region with trapped surfaces in spherical symmetry, its core, and their boundaries",2011,"Ingemar Bengtsson, José M. M. Senovilla",10.1103/physrevd.83.044012,Physics and Astronomy,82,83,8.9287,0.96937344,1,85,80,0.941,"We consider the region $\mathcal{T}$ in spacetime containing future-trapped closed surfaces and its boundary $\mathcal{B}$, and derive some of their general properties. We then concentrate on the case of spherical symmetry, but the methods we use are general and applicable to other situations. We argue that closed trapped surfaces have a nonlocal property, ``clairvoyance'', which is inherited by $\mathcal{B}$. We prove that $\mathcal{B}$ is not a marginally trapped tube in general, and that it can have portions in regions whose whole past is flat. For asymptotically flat black holes, we identify a general past barrier, well inside the event horizon, to the location of $\mathcal{B}$ under physically reasonable conditions. We also define the core $\mathcal{Z}$ of the trapped region as that part of $\mathcal{T}$ which is indispensable to sustain closed trapped surfaces. We prove that the unique spherically symmetric dynamical horizon is the boundary of such a core, and we argue that this may serve to single it out. To illustrate the results, some explicit examples are discussed, namely, Robertson-Walker geometries and the imploding Vaidya spacetime.",
W2088920577,Toward giga-pixel nanoscopy on a chip: a computational wide-field look at the nano-scale without the use of lenses,2013,"Euan McLeod, Alon Greenbaum, Onur Mudanyali, Wei Luo",10.1039/c3lc50222h,Physics and Astronomy,82,55,6.4984,0.97390034,1,55,25,0.455,"The development of lensfree on-chip microscopy in the past decade has opened up various new possibilities for biomedical imaging across ultra-large fields of view using compact, portable, and cost-effective devices. However, until recently, its ability to resolve fine features and detect ultra-small particles has not rivalled the capabilities of the more expensive and bulky laboratory-grade optical microscopes. In this Frontier Review, we highlight the developments over the last two years that have enabled computational lensfree holographic on-chip microscopy to compete with and, in some cases, surpass conventional bright-field microscopy in its ability to image nano-scale objects across large fields of view, yielding giga-pixel phase and amplitude images. Lensfree microscopy has now achieved a numerical aperture as high as 0.92, with a spatial resolution as small as 225 nm across a large field of view e.g., >20 mm(2). Furthermore, the combination of lensfree microscopy with self-assembled nanolenses, forming nano-catenoid minimal surfaces around individual nanoparticles has boosted the image contrast to levels high enough to permit bright-field imaging of individual particles smaller than 100 nm. These capabilities support a number of new applications, including, for example, the detection and sizing of individual virus particles using field-portable computational on-chip microscopes.","Developments over the last two years that have enabled computational lensfree holographic on-chip microscopy to compete with and, in some cases, surpass conventional bright-field microscopy in its ability to image nano-scale objects across large fields of view are highlighted."
W2069107272,Giant leaps and minimal branes in multidimensional flux landscapes,2011,"Adam R. Brown, Alex Dahlen",10.1103/physrevd.84.023513,Physics and Astronomy,82,23,4.8838,0.94336712,1,24,24,1.0,"There is a standard story about decay in multidimensional flux landscapes: that from any state, the fastest decay is to take a small step, discharging one flux unit at a time; that fluxes with the same coupling constant are interchangeable; and that states with $N$ units of a given flux have the same decay rate as those with -$N$. We show that this standard story is false. The fastest decay is a giant leap that discharges many different fluxes in unison; this decay is mediated by a ``minimal'' brane that wraps the internal manifold and exhibits behavior not visible in the effective theory. We discuss the implications for the cosmological constant problem.",
W2000412615,Symmetry properties and explicit solutions of the generalized Weierstrass system,2001,"Paul Bracken, Paul Bracken, A. M. Grundland, A. M. Grundland",10.1063/1.1337796,Physics and Astronomy,82,35,3.1748,0.92359036,1,28,24,0.857,"The method of symmetry reduction is systematically applied to derive several classes of invariant solutions for the generalized Weierstrass system inducing constant mean curvature surfaces and to the associated two-dimensional nonlinear sigma model. A classification of subgroups with generic orbits of codimension one of the Lie point symmetry group for these systems provides a tool for introducing symmetry variables and reduces the initial systems to different nonequivalent systems of ordinary differential equations. We perform a singularity analysis for them in order to establish whether these ordinary differential equations have the Painlevé property. These ordinary differential equations can then be transformed to standard forms and next solved in terms of elementary and Jacobi elliptic functions. This results in a large number of new solutions and in some cases new interesting constant mean curvature surfaces are found. Furthermore, this symmetry analysis is extended to include conditional symmetries by subjecting the original system to certain differential constraints. In this case, several new types of nonsplitting algebraic, trigonometric, and hyperbolic multisoliton solutions have been obtained in explicit form. Some physical interpretation of these results in the areas of fluid membranes, string theory, two-dimensionl gravity, and cosmology are given.",
W2026783245,On the existence of capillary free surfaces in the absence of gravity,1980,Jin-Tzu Chen,10.2140/pjm.1980.88.323,Engineering,104,24,183.6927,0.99950879,1,23,10,0.435,,
W2092645959,Scherk-Type Capillary Graphs,2005,"Robert Huff, Robert Huff, Robert Huff, John McCuan",10.1007/s00021-004-0140-8,Engineering,104,11,51.714,0.99474244,1,9,1,0.111,,
W2005684646,Non-continuous dependence of surfaces of least area on the boundary curve,1977,Michael Beeson,10.2140/pjm.1977.70.11,Engineering,104,29,20.5098,0.99713681,1,28,0,0.0,"In this paper, we consider the question of continuous dependence associated with the following version of Plateau's problem: Given a (sufficiently smooth) Jordan curve , find a surface of least area bounded by . In other words, we ask whether a surface S of least area among surfaces bounded by can be found, continuously in . The answer is no; in fact, sometimes one does not even have local continuous dependence. That is, for certain curves o , one cannot find S continuously in , even on any neighborhood of o .",
W2120559167,Bone tissue regeneration: the role of scaffold geometry,2014,"Amir A. Zadpoor, Amir A. Zadpoor",10.1039/c4bm00291a,Engineering,104,519,9.7715,0.98672496,1,523,414,0.792,"The geometry of porous scaffolds that are used for bone tissue engineering and/or bone substitution has recently been shown to significantly influence the cellular response and the rate of bone tissue regeneration. Most importantly, it has been shown that the rate of tissue generation increases with curvature and is much larger on concave surfaces as compared to convex and planar surfaces. In this work, recent discoveries concerning the effects of geometrical features of porous scaffolds such as surface curvature, pore shape, and pore size on the cellular response and bone tissue regeneration process are reviewed. In addition to reviewing the recent experimental observations, we discuss the mechanisms through which geometry affects the bone tissue regeneration process. Of particular interest are the theoretical models that have been developed to explain the role of geometry in the bone tissue regeneration process. We then follow with a section on the implications of the observed phenomena for geometrical design of porous scaffolds including the application of predictive computational models in geometrical design of porous scaffolds. Moreover, some geometrical concepts in the design of porous scaffolds such as minimal surfaces and porous structures with geometrical gradients that have not been explored before are suggested for future studies. We especially focus on the porous scaffolds manufactured using additive manufacturing techniques where the geometry of the porous scaffolds could be precisely controlled. The paper concludes with a general discussion of the current state-of-the-art and recommendations for future research.","Recent discoveries concerning the effects of geometrical features of porous scaffolds such as surface curvature, pore shape, and pore size on the cellular response and bone tissue regeneration process are reviewed and recommended for future research."
W2943941736,Additively manufactured porous metallic biomaterials,2019,"Amir A. Zadpoor, Amir A. Zadpoor",10.1039/c9tb00420c,Engineering,104,202,8.1486,0.98557045,1,204,165,0.809,"Additively manufactured (AM, =3D printed) porous metallic biomaterials with topologically ordered unit cells have created a lot of excitement and are currently receiving a lot of attention given their great potential for improving bone tissue regeneration and preventing implant-associated infections. This paper presents an overview of the various aspects of design, manufacturing, and bio-functionalization of these materials from a ""designer material"" viewpoint and discusses how rational design principles could be used to topologically design the underlying lattice structures in such a way that the desired properties including mechanical properties, fatigue behavior, mass transport properties (e.g., permeability, diffusivity), surface area, and geometrical features affecting the rate of tissue regeneration (e.g., surface curvature) are simultaneously optimized. We discuss the different types of topological design including those based on beam-based unit cells, sheet-based unit cells (e.g., triply periodic minimal surfaces), and functional gradients. We also highlight the use of topology optimization algorithms for the rational design of AM porous biomaterials. The topology-property relationships for all of the above-mentioned types of properties are presented as well followed by a discussion of the applicable AM techniques and the pros and cons of different types of base materials (i.e., bioinert and biodegradable metals). Finally, we discuss how the huge (internal) surfaces of AM porous biomaterials and their pore space could be used respectively for surface bio-functionalization and accommodation of drug delivery vehicles so as to enhance their bone tissue regeneration performance and minimize the risk of implant-associated infections. We conclude with a general discussion and by suggesting some possible areas for future research.","An overview of the various aspects of design, manufacturing, and bio-functionalization of additively manufactured porous metallic biomaterials from a ""designer material"" viewpoint and discusses how rational design principles could be used to topologically design the underlying lattice structures in such a way that the desired properties are simultaneously optimized."
W2028122516,An embedded genus-one helicoid,2009,"Matthias Weber, David Hoffman, Michael Wolf",10.4007/annals.2009.169.347,Engineering,104,37,5.3124,0.96356245,1,19,2,0.105,There exists a properly embedded minimal surface of genus one with one end. The end is asymptotic to the end of the helicoid. This genus one helicoid is constructed as the limit of a continuous one-parameter family of screw-motion invariant minimal surfaces-also asymptotic to the helicoid-that have genus equal to one in the quotient.,
W1698081298,Analytic and geometric background of recurrence and non-explosion of the Brownian motion on Riemannian manifolds,1999,Alexander Grigorʼyan,10.1090/s0273-0979-99-00776-4,Mathematics,715,871,23.2435,0.99942833,1,857,750,0.875,"We provide an overview of such properties of the Brownian motion on complete non-compact Riemannian manifolds as recurrence and non-explosion. It is shown that both properties have various analytic characterizations, in terms of the heat kernel, Green function, Liouville properties, etc. On the other hand, we consider a number of geometric conditions such as the volume growth, isoperimetric inequalities, curvature bounds, etc., which are related to recurrence and non-explosion.",
W2149889673,Shrinkwrapping and the taming of hyperbolic 3-manifolds,2005,"Danny Calegari, David Gabai",10.1090/s0894-0347-05-00513-8,Mathematics,715,293,20.5879,0.99877915,1,292,283,0.969,"We introduce a new technique for finding CAT <inline-formula content-type=""math/mathml""> <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" alttext=""left-parenthesis negative 1 right-parenthesis""> <mml:semantics> <mml:mrow> <mml:mo stretchy=""false"">(</mml:mo> <mml:mo> − </mml:mo> <mml:mn>1</mml:mn> <mml:mo stretchy=""false"">)</mml:mo> </mml:mrow> <mml:annotation encoding=""application/x-tex"">(-1)</mml:annotation> </mml:semantics> </mml:math> </inline-formula> surfaces in hyperbolic 3-manifolds. We use this to show that a complete hyperbolic 3-manifold with finitely generated fundamental group is geometrically and topologically tame.",
W2078151027,Complete Embedded Minimal Surfaces of Finite Total Curvature,1997,"David Hoffman, David Hoffman, Hermann Karcher",10.1007/978-3-662-03484-2_2,Mathematics,715,112,17.4354,0.99698341,1,75,51,0.68,,
W2027593881,The Gauss Map of a Complete Non-Flat Minimal Surface Cannot Omit 7 Points of the Sphere,1981,Frederico Xavier,10.2307/1971139,Mathematics,715,72,16.2075,0.99067599,1,34,28,0.824,"A well-known theorem of Osserman ([21, [3], [4]) states that the Gauss map of a complete minimal surface M2 c R3 cannot omit a set of positive logarithmic capacity unless the surface is a plane. In this paper we improve Osserman's theorem by showirg that the Gauss map of M2 omits at most 6 points (provided M2 is not flat). It should be pointed out, however, that no example is known where the omitted set has 5 points. Therefore the problem of determining the exact size of the omitted set remains unsolved (we refer to [2] and [31 for a historical account as well as for general facts pertaining to minimal surfaces). We take the opportunity to thank L. Petrola for sharing his insights with us and Professor J. Shah for some very enlightening conversations on related matters.",
