citing_work_id,cited_work_id,citation_function,rationale,citer_title,citer_year,citer_field,citer_subfield,citer_type,citer_cited_by_count
W2004659135,W2139502098,,,Embedded Minimal Surfaces of Finite Topology,1990,Mathematics,Applied Mathematics,article,120
W2067440757,W2139502098,,,The classical theory of minimal surfaces,2011,Mathematics,Applied Mathematics,article,119
W1533120858,W2139502098,,,One-sided complete stable minimal surfaces,2006,Mathematics,Applied Mathematics,article,116
W2033627790,W2139502098,,,Complete minimal surfaces with index one and stable constant mean curvature surfaces,1989,Mathematics,Applied Mathematics,article,114
W2078151027,W2139502098,,,Complete Embedded Minimal Surfaces of Finite Total Curvature,1997,Mathematics,Applied Mathematics,book-chapter,112
W2011393615,W2139502098,,,"Capillary models for liquid crystal fibers, membranes, films, and drops",2007,Materials Science,"Electronic, Optical and Magnetic Materials",article,105
W51044029,W2139502098,,,Riemannian Submanifolds,2000,Mathematics,Applied Mathematics,book-chapter,100
W2561706738,W2139502098,,,Additively Manufactured and Surface Biofunctionalized Porous Nitinol,2016,Engineering,Biomedical Engineering,article,98
W2048931176,W2139502098,,,On the number of exceptional values of the Gauss maps of minimal surfaces,1988,Mathematics,Geometry and Topology,article,95
W2065333833,W2139502098,,,The Schwarzian derivative for harmonic mappings,2003,Mathematics,Geometry and Topology,article,92
W2608640513,W2139502098,,,Eigenvalues of elliptic operators and geometric applications,2004,Mathematics,Applied Mathematics,article,91
W1978663140,W2139502098,,,The geometry of periodic minimal surfaces,1993,Mathematics,Applied Mathematics,article,90
W2079888158,W2139502098,,,Classical solutions in the Born—Infeld theory,2000,Physics and Astronomy,Nuclear and High Energy Physics,article,89
W2129318336,W2139502098,,,Flat surfaces in the hyperbolic 3-space,2000,Mathematics,Applied Mathematics,article,89
W2050427737,W2139502098,,,A geometric approach to segmentation and analysis of 3D medical images,1996,Computer Science,Computer Vision and Pattern Recognition,conference-paper,87
W2054414694,W2139502098,,,Bézier surfaces of minimal area: The Dirichlet approach,2003,Engineering,Computational Mechanics,article,85
W2086288548,W2139502098,,,The global theory of doubly periodic minimal surfaces,1989,Mathematics,Applied Mathematics,article,85
W2002168123,W2139502098,,,"Region with trapped surfaces in spherical symmetry, its core, and their boundaries",2011,Physics and Astronomy,Nuclear and High Energy Physics,article,83
W2004710792,W2139502098,,,Minimal surfaces: a geometric three dimensional segmentation approach,1997,Computer Science,Computer Vision and Pattern Recognition,article,83
W2010180471,W2139502098,,,Bernstein theorems for harmonic morphisms from R3 andS 3,1988,Engineering,Computational Mechanics,article,83
W2044920528,W2139502098,,,The computer-aided discovery of new embedded minimal surfaces,1987,Engineering,Computational Mechanics,article,82
W2007941828,W2139502098,,,An extension of a theorem by K. Jörgens and a maximum principle at infinity for parabolic affine spheres,1999,Mathematics,Applied Mathematics,article,81
W2092069797,W2139502098,,,Generalized maximal surfaces in Lorentz–Minkowski space L<sup>3</sup>,1992,Mathematics,Applied Mathematics,article,78
W2962707324,W2139502098,,,Entire solutions of the Allen-Cahn equation and complete embedded minimal surfaces of finite total curvature in $\mathbb,2013,Mathematics,Applied Mathematics,article,77
W108654854,W2139502098,,,Higher eigenvalues and isoperimetric inequalities on Riemannian manifolds and graphs,2000,Mathematics,Geometry and Topology,article,75
W2006057443,W2139502098,,,Maximal surfaces of Riemann type in Lorentz-Minkowski space L3.,2000,Mathematics,Applied Mathematics,article,74
W2010379136,W2139502098,,,Properly embedded and immersed minimal surfaces in the Heisenberg group,2004,Mathematics,Applied Mathematics,article,73
W2149975601,W2139502098,,,Flat fronts in hyperbolic 3-space and their caustics,2007,Mathematics,Applied Mathematics,article,73
W2027593881,W2139502098,,,The Gauss Map of a Complete Non-Flat Minimal Surface Cannot Omit 7 Points of the Sphere,1981,Mathematics,Theoretical Computer Science,article,72
W2316674544,W2139502098,,,The Index Theorem for Classical Minimal Surfaces,1981,Mathematics,Geometry and Topology,article,71
W2184591879,W2139502098,,,RHEINISCH-WESTFÄ LISCHE TECHNISCHE HOCHSCHULE AACHEN,2006,Mathematics,Applied Mathematics,article,70
W157390295,W2139502098,,,Schrödinger operators associated to a holomorphic map,1991,Mathematics,Applied Mathematics,book-chapter,68
W2626870500,W2139502098,,,Harmonic maps from the complex plane into surfaces with nonpositive curvature,1995,Mathematics,Applied Mathematics,article,67
W2078010399,W2139502098,,,The space of complete embedded maximal surfaces with isolated singularities in the 3-dimensional Lorentz-Minkowski space,2005,Mathematics,Applied Mathematics,article,65
W2288825959,W2139502098,,,Le problème de Dirichlet pour l'équation des surfaces minimales sur des domaines non bornés,1991,Computer Science,Computational Theory and Mathematics,article,65
W1981399013,W2139502098,,,Irreducible constant mean curvature $1$ surfaces in hyperbolic space with positive genus,1997,Mathematics,Applied Mathematics,article,64
W2906809727,W2139502098,,,Liouville-Type Theorems for Elliptic Problems,2007,Computer Science,Computational Theory and Mathematics,book-chapter,64
W2169776346,W2139502098,,,Heart wall myofibers are arranged in minimal surfaces to optimize organ function,2012,Materials Science,Biomaterials,article,62
W2044131335,W2139502098,,,The Geometry of Finite Topology Bryant Surfaces,2001,Mathematics,Applied Mathematics,article,61
W2027915740,W2139502098,,,The contact angle in capillarity,2006,Earth and Planetary Sciences,Atmospheric Science,article,60
W2044735577,W2139502098,,,Bicontinuous Cubic Morphologies in Block Copolymers and Amphiphile/Water Systems:  Mathematical Description through the ,1997,Materials Science,Materials Chemistry,article,60
W2002021482,W2139502098,,,Triply periodic minimal surfaces decorated with curved graphite,1993,Chemistry,Organic Chemistry,article,59
W2014280214,W2139502098,,,"Index, vision number and stability of complete minimal surfaces",1990,Engineering,Computational Mechanics,paratext,59
W2069003282,W2139502098,,,An inequality between the exterior diameter and the mean curvature of bounded immersions,1981,Mathematics,Applied Mathematics,article,59
W2062981161,W2139502098,,,Morse index and Gauss maps of complete minimal surfaces in Euclidean 3-space,1993,Mathematics,Applied Mathematics,article,58
W2323364538,W2139502098,,,Harmonic Mappings onto Convex Domains,1987,Mathematics,Geometry and Topology,article,58
W2166244928,W2139502098,,,Embedded minimal disks: Proper versus nonproper—global versus local,2003,Computer Science,Computational Theory and Mathematics,article,57
W2014531689,W2139502098,,,The structure of negatively curved spongy carbon,2003,Materials Science,Materials Chemistry,article,56
W2125976976,W2139502098,,,The Nitsche conjecture,2010,Mathematics,Geometry and Topology,article,56
W1630421210,W2139502098,,,The Bernstein Problem in the Heisenberg Group,2002,Mathematics,Applied Mathematics,preprint,55
W2088920577,W2139502098,,,Toward giga-pixel nanoscopy on a chip: a computational wide-field look at the nano-scale without the use of lenses,2013,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",article,55
W604255807,W2139502098,,,A Survey on Classical Minimal Surface Theory,2012,Mathematics,Applied Mathematics,book,55
W2012713442,W2139502098,,,Embedded minimal surfaces with an infinite number of ends,1989,Mathematics,Applied Mathematics,article,54
W2112838653,W2139502098,,,Electrostatic colloid-membrane binding,2004,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,article,54
W2085387171,W2139502098,,,Soap-film Möbius strip changes topology with a twist singularity,2010,Engineering,Computational Mechanics,article,52
W2037447600,W2139502098,,,Null $2$-type surfaces in $E^3$ are circular cylinders,1988,Mathematics,Applied Mathematics,article,51
W1978682653,W2139502098,,,Doubly-connected minimal surfaces,1975,Mathematics,Applied Mathematics,article,49
W2057855460,W2139502098,,,The extremal surfaces in the 3-dimensional Minkowski space,1985,Mathematics,Applied Mathematics,article,49
W2074313127,W2139502098,,,The maximum principle at infinity for minimal surfaces in flat three manifolds,1990,Computer Science,Computational Theory and Mathematics,article,49
W2140547574,W2139502098,,,The Australian Journal of Mathematical Analysis and Applications,2009,Mathematics,Applied Mathematics,article,49
W52037170,W2139502098,,,Nonlinear Elliptic Equations,2010,Mathematics,Applied Mathematics,book-chapter,49
W2949812265,W2139502098,,,Complete embedded minimal surfaces of finite total curvature,1985,Mathematics,Applied Mathematics,article,48
W2053023959,W2139502098,,,Some uniqueness and nonexistence theorems for embedded minimal surfaces,1993,Mathematics,Applied Mathematics,article,47
W2129585046,W2139502098,,,"Gauged harmonic maps, Born‐Infeld electromagnetism, and magnetic vortices",2003,Mathematics,Applied Mathematics,article,47
W1587541211,W2139502098,,,Computational Aspects of Discrete Minimal Surfaces,2002,Computer Science,Computer Graphics and Computer-Aided Design,article,46
W2023561798,W2139502098,,,Adding handles to the helicoid,1993,Mathematics,Applied Mathematics,article,46
W1986513910,W2139502098,,,The gyroid is embedded and has constant mean curvature companions,1996,Mathematics,Applied Mathematics,article,45
W3026088860,W2139502098,,,XROMM and diceCT reveal a hydraulic mechanism of tongue base retraction in swallowing,2020,Health Professions,Speech and Hearing,article,45
W2038517582,W2139502098,,,Entire Solutions to Equivariant Elliptic Systems with Variational Structure,2011,Mathematics,Applied Mathematics,article,43
W2076238636,W2139502098,,,Robust modeling of constant mean curvature surfaces,2012,Engineering,Computational Mechanics,article,43
W60603874,W2139502098,,,Stability of minimal surfaces,1976,Mathematics,Applied Mathematics,book-chapter,43
W623540216,W2139502098,,,"Manifolds, Tensors, and Forms",2013,Mathematics,Geometry and Topology,book,43
W1481628252,W2139502098,,,Existence and behavior of the radial limits of a bounded capillary surface at a corner,1996,Computer Science,Computational Theory and Mathematics,article,42
W1517554314,W2139502098,,,On the geometry of constant mean curvature one surfaces in hyperbolic space,2001,Mathematics,Applied Mathematics,article,42
W2048251793,W2139502098,,,OPEN PROBLEMS IN SOAP BUBBLE GEOMETRY,1996,Mathematics,Applied Mathematics,article,42
W107024646,W2139502098,,,Complete minimal surfaces in $\mathbb{R}^3$,1999,Mathematics,Applied Mathematics,article,41
W1543623499,W2139502098,,,The Geometry of Bubbles and Foams,1999,Mathematics,Geometry and Topology,book-chapter,41
W2062448023,W2139502098,,,Two-Dimensional Graphs Moving by Mean Curvature Flow,2002,Mathematics,Applied Mathematics,article,41
W2123343089,W2139502098,,,Properly embedded minimal planar domains,2014,Mathematics,Applied Mathematics,article,41
W2163587841,W2139502098,,,Polynomial cubic differentials and convex polygons in the projective plane,2015,Mathematics,Geometry and Topology,article,41
W2950106218,W2139502098,,,Minimal surfaces in pseudohermitian geometry,2004,Mathematics,Applied Mathematics,preprint,41
W1532474902,W2139502098,,,Adding Handles to Nadirashvili's Surfaces,2002,Materials Science,Materials Chemistry,article,40
W202510759,W2139502098,,,The Willmore functional,2012,Mathematics,Applied Mathematics,book-chapter,40
W2025123855,W2139502098,,,Extending minimal varieties,1975,Computer Science,Computational Theory and Mathematics,article,40
W2076459920,W2139502098,,,The classification of complete minimal surfaces with total curvature greater than -12𝜋,1992,Mathematics,Applied Mathematics,article,40
W2108471109,W2139502098,,,The Cauchy problem for the Liouville equation and Bryant surfaces,2004,Mathematics,Applied Mathematics,article,40
W3104788787,W2139502098,,,3 NULL CURVES AND DIRECTED IMMERSIONS OF OPEN RIEMANN SURFACES,2016,Mathematics,Applied Mathematics,preprint,40
W2612605708,W2139502098,,,Gaussian curvature directs the distribution of spontaneous curvature on bilayer membrane necks,2018,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,article,39
W2177745462,W2139502098,,,The Bohr radius for starlike logharmonic mappings,2015,Mathematics,Geometry and Topology,article,38
W2964351250,W2139502098,,,Metrics on a closed surface of genus two which maximize the first eigenvalue of the Laplacian,2018,Mathematics,Applied Mathematics,article,38
W1602566231,W2139502098,,,Improper affine maps,2004,Mathematics,Applied Mathematics,article,37
W160600454,W2139502098,,,The Minimal Surface Equation,1997,Computer Science,Computational Theory and Mathematics,book-chapter,37
W1996769092,W2139502098,,,Teichmuller Theory and Handle Addition for Minimal Surfaces,2002,Mathematics,Applied Mathematics,article,37
W2028122516,W2139502098,,,An embedded genus-one helicoid,2009,Engineering,Computational Mechanics,article,37
W2053228601,W2139502098,,,Infinite boundary value problems for surfaces of constant mean curvature,1972,Mathematics,Applied Mathematics,article,37
W2140530392,W2139502098,,,Book Review: Minimal surfaces and functions of bounded variation,1987,Mathematics,Applied Mathematics,book-review,37
W2147525365,W2139502098,,,The Spinor Representation of Minimal Surfaces,1995,Mathematics,Applied Mathematics,preprint,37
W2963219679,W2139502098,,,On Mœglin's Parametrization of Arthur Packets for p-adic Quasisplit <i>S<sub>p</sub></i>(<i>N</i>) and <i>SO</i>(<i>N</i,2016,Mathematics,Mathematical Physics,article,37
W3100447000,W2139502098,,,Topology and Signature Changes in Braneworlds,2004,Physics and Astronomy,Nuclear and High Energy Physics,other,37
W1964034642,W2139502098,,,Minimal Surfaces Based on the Catenoid,1990,Mathematics,Applied Mathematics,article,36
W1998127781,W2139502098,,,Discrete constant mean curvature surfaces and their index,2002,Mathematics,Applied Mathematics,article,36
W2012649741,W2139502098,,,A rigidity theorem for properly embedded minimal surfaces in ${\bf R}\sp 3$,1990,Computer Science,Computational Theory and Mathematics,article,36
W2000412615,W2139502098,,,Symmetry properties and explicit solutions of the generalized Weierstrass system,2001,Physics and Astronomy,Statistical and Nonlinear Physics,article,35
W2325730086,W2139502098,,,Conformal properties in classical minimal surface theory,2004,Mathematics,Applied Mathematics,article,35
W2017281900,W2139502098,,,A variational method for harmonic mappings onto convex regions,1987,Mathematics,Geometry and Topology,article,34
W2030117318,W2139502098,,,The asymptotic behavior of properly embedded minimal surfaces of finite topology,1989,Mathematics,Applied Mathematics,article,34
W2074626237,W2139502098,,,Convex hulls of complete minimal surfaces,1984,Mathematics,Applied Mathematics,article,34
W2083819982,W2139502098,,,Spaces of geodesics of pseudo-Riemannian space forms and normal congruences of hypersurfaces,2013,Mathematics,Applied Mathematics,article,34
W2973388969,W2139502098,,,A survey of the geometric results in the classical theory of minimal surfaces,1981,Mathematics,Applied Mathematics,article,34
W1991957126,W2139502098,,,One Pointed Univalent Logharmonic Mappings,1996,Mathematics,Geometry and Topology,article,33
W2027051296,W2139502098,,,"Embedded minimal surfaces: Forces, topology and symmetries",1996,Mathematics,Applied Mathematics,article,33
W2044728071,W2139502098,,,Some existence and uniqueness theorems for doubly periodic minimal surfaces,1992,Mathematics,Applied Mathematics,article,33
W2054314535,W2139502098,,,The Weierstrass–Enneper system for constant mean curvature surfaces and the completely integrable sigma model,1999,Physics and Astronomy,Statistical and Nonlinear Physics,article,33
W2068816262,W2139502098,,,Global existence for small initial data in the Born–Infeld equations,2003,Mathematics,Mathematical Physics,article,33
W1496664306,W2139502098,,,Polyhedral Surfaces of Constant Mean Curvature,2002,Computer Science,Computer Graphics and Computer-Aided Design,article,32
W2064684072,W2139502098,,,The coincidence set of solutions of certain variational inequalities,1971,Mathematics,Geometry and Topology,article,32
W2237384732,W2139502098,,,Curvature Estimates for some Minimal Surfaces,1988,Mathematics,Geometry and Topology,book-chapter,32
W2333872200,W2139502098,,,Area Bounds for Various Classes of Surfaces,1975,Mathematics,Applied Mathematics,article,32
W1878245702,W2139502098,,,Quasi-harmonic Bézier approximation of minimal surfaces for finding forms of structural membranes,2015,Engineering,Computational Mechanics,article,31
W1889485559,W2139502098,,,Surfaces immersed in Lie algebras obtained from the sigma models,2006,Physics and Astronomy,Statistical and Nonlinear Physics,article,31
W2085106812,W2139502098,,,Discrete solution of the Plateau problem and its convergence,1987,Mathematics,Applied Mathematics,article,31
W2093494429,W2139502098,,,"Minimal surfaces, corners, and wires",1992,Engineering,Mechanics of Materials,article,31
W2963615027,W2139502098,,,The Gauss map of pseudo-algebraic minimal surfaces,2008,Mathematics,Applied Mathematics,article,31
W1756212634,W2139502098,,,On the asymptotic behavior of a complete bounded minimal surface in ℝ³,2004,Mathematics,Geometry and Topology,article,30
W1969115958,W2139502098,,,Quintic parametric polynomial minimal surfaces and their properties,2010,Engineering,Computational Mechanics,article,30
W200908042,W2139502098,,,THE GAUSS MAP OF MINIMAL SURFACES,2002,Mathematics,Applied Mathematics,conference-paper,30
W2090849794,W2139502098,,,Index and Flat Ends of Minimal Surfaces,1993,Engineering,Computational Mechanics,paratext,30
W1972732705,W2139502098,,,Elliptische und hyperelliptische Funktionen und vollst�ndige Minimalfl�chen vom Enneperschen Typ,1982,Mathematics,Geometry and Topology,article,29
W1994209928,W2139502098,,,Complete nonorientable minimal surfaces in R3,1992,Mathematics,Applied Mathematics,article,29
W2005684646,W2139502098,,,Non-continuous dependence of surfaces of least area on the boundary curve,1977,Engineering,Computational Mechanics,article,29
W2046584046,W2139502098,,,The topological uniqueness of minimal surfaces in three dimensional Euclidean space,1981,Mathematics,Applied Mathematics,article,29
W2069232039,W2139502098,,,Spacelike CMC 1 surfaces with elliptic ends in de Sitter 3-space,2006,Mathematics,Applied Mathematics,article,29
W2076649074,W2139502098,,,Harmonic Shears of Regular Polygons by Hypergeometric Functions,1999,Engineering,Computational Mechanics,article,29
W2269313178,W2139502098,,,"Band structure of the P, D, and G surfaces",2005,Physics and Astronomy,Statistical and Nonlinear Physics,article,29
W1508586398,W2139502098,,,Three dimensional object modeling via minimal surfaces,1996,Engineering,Computational Mechanics,conference-paper,28
W1850664221,W2139502098,,,Bézier surfaces of minimal area,2002,Engineering,Computational Mechanics,conference-paper,28
W2006749654,W2139502098,,,Genus-one helicoids from a variational point of view,2008,Mathematics,Applied Mathematics,article,28
W2019921193,W2139502098,,,Some new examples of nonorientable minimal surfaces,1986,Mathematics,Geometry and Topology,article,28
W2026712925,W2139502098,,,Constant Mean Curvature Surfaces with Two Ends in Hyperbolic Space,1998,Mathematics,Applied Mathematics,article,28
W2041087951,W2139502098,,,Value distribution of the Gauss maps of complete minimal surfaces in Rm,1983,Mathematics,Applied Mathematics,article,28
W2065862916,W2139502098,,,The shapes of first-stage sinters,1989,Earth and Planetary Sciences,Atmospheric Science,article,28
W2068494517,W2139502098,,,ON A NEW APPROACH TO BERNSTEIN'S THEOREM AND RELATED QUESTIONS FOR EQUATIONS OF MINIMAL SURFACE TYPE,1980,Computer Science,Computational Theory and Mathematics,article,28
W2954373213,W2139502098,,,Microstructural characteristics of bijel-templated porous materials,2019,Materials Science,Materials Chemistry,article,28
W1983214267,W2139502098,,,Complete minimal Möbius strips in and the Björling problem,2005,Mathematics,Geometry and Topology,article,27
W2033345022,W2139502098,,,Extensions of the duality between minimal surfaces and maximal surfaces,2010,Mathematics,Applied Mathematics,article,27
W2045427867,W2139502098,,,On the Gauss map of a complete minimal surface in Rm,1983,Mathematics,Applied Mathematics,article,27
W2094186554,W2139502098,,,The space of properly embedded minimal surfaces and their Fourier transforms,1996,Mathematics,Applied Mathematics,article,27
W2122283164,W2139502098,,,Close‐to‐starlike logharmonic mappings,1994,Mathematics,Geometry and Topology,article,27
W125634238,W2139502098,,,Planar harmonic mappings,1990,Mathematics,Geometry and Topology,book-chapter,26
W1481715573,W2139502098,,,Weakly differentiable functions on varifolds,2016,Mathematics,Applied Mathematics,article,26
W1576882143,W2139502098,,,The Plateau-Bézier Problem,2003,Engineering,Computational Mechanics,conference-paper,26
W1976443901,W2139502098,,,On univalent harmonic mappings and minimal surfaces,2000,Mathematics,Geometry and Topology,article,26
W2010082612,W2139502098,,,New examples of Calabi–Bernstein problems for some nonlinear equations,2001,Mathematics,Applied Mathematics,article,26
W1847005676,W2139502098,,,Minimal graphs in ℝ³ over convex domains,2003,Mathematics,Geometry and Topology,article,25
W1994684573,W2139502098,,,Algebraic curves and the Gauss map of algebraic minimal surfaces,2007,Mathematics,Applied Mathematics,article,25
W2032878597,W2139502098,,,Computational methods for tension-loaded structures,2004,Engineering,Civil and Structural Engineering,article,25
W2051133332,W2139502098,,,Univalent Logharmonic Mappings in the Plane,2012,Mathematics,Geometry and Topology,article,25
W2122213968,W2139502098,,,Disks that are double spiral staircases,2002,Mathematics,Applied Mathematics,preprint,25
W2154860719,W2139502098,,,Minimal Surfaces of Least Total Curvature and Moduli Spaces of Plane Polygonal Arcs,1998,Mathematics,Applied Mathematics,article,25
W2163966283,W2139502098,,,Bounded domains which are universal for minimal surfaces,2007,Mathematics,Geometry and Topology,article,25
W2007351592,W2139502098,,,Harmonic Mappings Related to Scherk's Saddle-Tower Minimal Surfaces,2000,Mathematics,Geometry and Topology,article,24
W2026783245,W2139502098,,,On the existence of capillary free surfaces in the absence of gravity,1980,Engineering,Aerospace Engineering,article,24
W2028830764,W2139502098,,,<i>In situ</i> observation of a soap-film catenoid—a simple educational physics experiment,2010,Computer Science,Computer Vision and Pattern Recognition,article,24
W1521437757,W2139502098,,,Embedded minimal disks with prescribed curvature blowup,2005,Mathematics,Applied Mathematics,article,23
W2008210336,W2139502098,,,Unicity theorems for the Gauss maps of complete minimal surfaces,1993,Mathematics,Applied Mathematics,article,23
W2069107272,W2139502098,,,Giant leaps and minimal branes in multidimensional flux landscapes,2011,Physics and Astronomy,Nuclear and High Energy Physics,article,23
W2086920739,W2139502098,,,A complete bounded minimal cylinder in R3.,2000,Mathematics,Geometry and Topology,article,23
W2098471331,W2139502098,,,Isoperimetric properties of higher eigenvalues of elliptic operators,2003,Mathematics,Mathematical Physics,article,23
W2963757881,W2139502098,,,"Finite topology self-translating surfaces for the mean curvature flow in <mml:math xmlns:mml=""http://www.w3.org/1998/Mat",2017,Mathematics,Applied Mathematics,article,23
W104100642,W2139502098,,,Bernstein theorems for harmonic morphisms,1987,Computer Science,Computational Theory and Mathematics,article,22
W1565927722,W2139502098,,,Uniqueness theorems for minimal surfaces,1981,Engineering,Computational Mechanics,article,22
W1988358623,W2139502098,,,Curvature estimates for minimal surfaces,1992,Mathematics,Geometry and Topology,article,22
W1992056516,W2139502098,,,Heat conduction in a solid slab embedded with a pipe of general cross-section: Shape Factor and Shape Optimization,2008,Engineering,Mechanics of Materials,article,22
W2006682105,W2139502098,,,Higher genus minimal surfaces by growing handles out of a catenoid,1991,Engineering,Computational Mechanics,article,22
W2051479496,W2139502098,,,On the Gauss curvature of minimal surfaces,1992,Mathematics,Applied Mathematics,article,22
W2063004782,W2139502098,,,A theorem on 𝐶-totally real minimal surface,1976,Mathematics,Applied Mathematics,article,22
W2149997020,W2139502098,,,Applications of a completeness lemma in minimal surface theory to various classes of surfaces,2010,Mathematics,Applied Mathematics,article,22
W3034142507,W2139502098,,,Revisiting thin film of glassy carbon,2020,Materials Science,Materials Chemistry,article,22
W1558094137,W2139502098,,,On singly-periodic minimal surfaces with planar ends,1997,Mathematics,Applied Mathematics,article,21
W1599120391,W2139502098,,,"Bernstein type theorem for entire weighted minimal graphs in <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" al",2014,Mathematics,Applied Mathematics,article,21
W1993586697,W2139502098,,,High order numerical approximation of minimal surfaces,2011,Engineering,Computational Mechanics,article,21
W2004039334,W2139502098,,,"Variational minimization on string-rearrangement surfaces, illustrated by an analysis of the bilinear interpolation",2014,Engineering,Computational Mechanics,article,21
W2053408774,W2139502098,,,A conformal representation for linear Weingarten surfaces in the de Sitter space,2007,Mathematics,Applied Mathematics,article,21
W2069624256,W2139502098,,,On minimal annuli in a slab,1994,Mathematics,Geometry and Topology,article,21
W2077731115,W2139502098,,,On maximal surfaces in the n-dimensional Lorentz-Minkowski space,1991,Mathematics,Applied Mathematics,article,21
W2157275522,W2139502098,,,On the volume growth and the topology of complete minimal submanifolds of a Euclidean space,1995,Mathematics,Applied Mathematics,article,21
W2173465225,W2139502098,,,Born duality and strings in hadrodynamics and electrodynamics,1974,Mathematics,Mathematical Physics,article,21
W2592025033,W2139502098,,,Classification of minimal Lorentz surfaces in indefinite space forms with arbitrary codimension and arbitrary index,2011,Mathematics,Applied Mathematics,article,21
W2770505235,W2139502098,,,NEW COMPLEX ANALYTIC METHODS IN THE THEORY OF MINIMAL SURFACES: A SURVEY,2018,Mathematics,Applied Mathematics,article,21
W2963154778,W2139502098,,,Complete minimal surfaces and harmonic functions,2012,Mathematics,Applied Mathematics,article,21
W2964343879,W2139502098,,,Spacelike mean curvature one surfaces in de Sitter $3$-space,2009,Mathematics,Applied Mathematics,article,21
W1968986705,W2139502098,,,On complete minimal surfaces whose Gauss map misses two directions,1994,Mathematics,Applied Mathematics,article,20
W1990306170,W2139502098,,,Minimal surfaces in $\bold R^3$ with dihedral symmetry,1995,Mathematics,Applied Mathematics,article,20
W1995386934,W2139502098,,,A note on the Gauss curvature of harmonic and minimal surfaces,1982,Mathematics,Applied Mathematics,article,20
W2004134384,W2139502098,,,Periodic maximal surfaces in the Lorentz–Minkowski space L3,2007,Mathematics,Applied Mathematics,article,20
W2038386198,W2139502098,,,Über die dimension einer minimalfläche und zur ungleichung von St. Cohn-Vossen,1976,Mathematics,Mathematical Physics,article,20
