openalex_id,title,year,own_field,fwci,cited_by_count,gen2_total,gen2_outside_own_field,outside_fraction,distinct_fields,top_field_breakdown,doi
W2009242770,Differential geometric theory of capillarity,1996,Chemistry,0.3212,7,5,5,1.0,4,Materials Science:2; Physics and Astronomy:1; Engineering:1; Earth and Planetary Sciences:1,10.1016/0927-7757(96)03591-1
W2612605708,Gaussian curvature directs the distribution of spontaneous curvature on bilayer membrane necks,2018,"Biochemistry, Genetics and Molecular Biology",1.9844,39,39,5,0.128,6,"Biochemistry, Genetics and Molecular Biology:34; Materials Science:1; Immunology and Microbiology:1; Environmental Science:1; Chemistry:1; Chemical Engineering:1",10.1039/c8sm00035b
W2000412615,Symmetry properties and explicit solutions of the generalized Weierstrass system,2001,Physics and Astronomy,3.1748,35,28,4,0.143,4,"Physics and Astronomy:24; Biochemistry, Genetics and Molecular Biology:2; Mathematics:1; Engineering:1",10.1063/1.1337796
W1612200372,Brownian motion and the parabolicity of minimal graphs,2008,"Economics, Econometrics and Finance",,6,3,3,1.0,2,Mathematics:2; (no field):1,10.48550/arxiv.0810.0669
W2032676329,Hedgehogs and area of order 2,1996,"Biochemistry, Genetics and Molecular Biology",0.0,4,3,3,1.0,1,Mathematics:3,10.1007/bf01268931
W168724759,The Topological Background of Schwarzite Physics,2010,Materials Science,6.5705,11,11,2,0.182,3,Materials Science:9; Mathematics:1; Chemistry:1,10.1007/978-94-007-0221-9_12
W203977387,Clifford–Fourier Transform and Spinor Representation of Images,2013,Mathematics,12.3053,18,17,2,0.118,2,Mathematics:15; Computer Science:2,10.1007/978-3-0348-0603-9_9
W2094658998,Shapes of completely wetted two-dimensional powder compacts for applications to sintering,1992,Earth and Planetary Sciences,0.2912,3,3,2,0.667,3,Health Professions:1; Engineering:1; Earth and Planetary Sciences:1,10.1063/1.350973
W2097063601,"Falaco Solitons, Cosmological strings in swimming pool.",2005,Arts and Humanities,0.0,2,2,2,1.0,2,Materials Science:1; Computer Science:1,
W28451638,Optimal Map Projections by Variational Calculus: Harmonic Maps,2014,Earth and Planetary Sciences,0.7558,2,2,2,1.0,1,Social Sciences:2,10.1007/978-3-642-36494-5_22
W1529287174,Equivariant Deformations of Horospherical Surfaces,2010,Earth and Planetary Sciences,0.296,1,1,1,1.0,1,Mathematics:1,10.7936/k7dr2skf
W2006894956,Polymerization in the cubic phase and studies of phase behavior in two nonionic surfactant-water-acrylamide systems,1992,Chemistry,0.3347,9,9,1,0.111,2,Chemistry:8; Materials Science:1,10.1016/0021-9797(92)90091-y
W2131425046,A new protein folding algorithm based on hydrophobic compactness: Rigid Unconnected Secondary Structure Iterative Assembly (RUSSIA). II: Applications,2003,"Biochemistry, Genetics and Molecular Biology",0.0,3,3,1,0.333,2,"Biochemistry, Genetics and Molecular Biology:2; Immunology and Microbiology:1",10.1093/protein/gzg141
W2153388310,"Falaco Solitons, Cosmological strings in swimming pool. Update of arXiv/gr-qc/0101098",2006,Arts and Humanities,2.7209,1,1,1,1.0,1,Physics and Astronomy:1,
W2976057645,A estruturação do saber relacionado a geometria complexa e a modelagem paramétrica de estruturas regenerativas na arquitetura,2019,Environmental Science,0.0,1,1,1,1.0,1,Engineering:1,10.11606/gtp.v14i1.148024
W36637537,C 10(3): The Ten Parameter Conformal Group as a Datum Transformation in Three-Dimensional Euclidean Space,2014,Social Sciences,0.0,1,1,1,1.0,1,Mathematics:1,10.1007/978-3-642-36494-5_24
W80732947,“Sphere to Cylinder”: Transverse Aspect,2014,Social Sciences,0.0,1,1,1,1.0,1,Engineering:1,10.1007/978-3-642-36494-5_11
W1607196095,Towards a classification of CMC-1 Trinoids in hyperbolic space via conjugate surfaces,2003,Medicine,,0,0,0,0.0,0,,10.48550/arxiv.math/0310397
W2069107272,Giant leaps and minimal branes in multidimensional flux landscapes,2011,Physics and Astronomy,4.8838,23,24,0,0.0,1,Physics and Astronomy:24,10.1103/physrevd.84.023513
W2135956548,EMBEDDED MINIMAL SURFACES OF FINITE TOPOLOGY AND ONE END,2009,Arts and Humanities,0.0,0,0,0,0.0,0,,
W2184041237,Tittel på avhandlingen Undertittel på avhandlingen,2012,Social Sciences,0.0,0,0,0,0.0,0,,
W2203603201,“Sphere to Cylinder”: Pseudo-Cylindrical Projections,2014,Social Sciences,0.0,0,0,0,0.0,0,,10.1007/978-3-642-36494-5_13
W2215812709,“Sphere to Cylinder”: Oblique Aspect,2014,Social Sciences,0.0,0,0,0,0.0,0,,10.1007/978-3-642-36494-5_12
W2219401023,“Sphere to Cylinder”: Polar Aspect,2014,Social Sciences,0.0,0,0,0,0.0,0,,10.1007/978-3-642-36494-5_10
W2493896240,Soap Films: The Amusement of Children and Mathematicians,1996,Health Professions,0.0,0,0,0,0.0,0,,10.1007/978-1-4612-2424-2_6
W4205537050,Faculty Opinions recommendation of Heart wall myofibers are arranged in minimal surfaces to optimize organ function.,2012,Medicine,,0,0,0,0.0,0,,10.3410/f.717953919.793459618
W4233857576,,1994,(no field),,0,0,0,0.0,0,,10.1090/qam/1994-52-01
W4236522220,Bibliography,2004,(no field),,0,0,0,0.0,0,,10.1016/s1874-7051(01)80014-1
W4240373209,Libro de resúmenes del ECI 2015 de invierno,2020,Environmental Science,0.0,0,0,0,0.0,0,,10.33017/recytperu2015.0002/
W4248074405,Bibliography,2016,(no field),,0,0,0,0.0,0,,10.1016/b978-0-12-804489-6.50025-2
W4254351106,Bibliography,1994,(no field),,0,0,0,0.0,0,,10.1016/b978-0-12-464990-3.50017-7
W4386139101,Copyright Page,2023,Arts and Humanities,,0,0,0,0.0,0,,10.1093/oso/9780192872616.002.0003
W4386139171,Mathematical Physics with Differential Equations,2023,Physics and Astronomy,37.4,5,5,0,0.0,1,Physics and Astronomy:5,10.1093/oso/9780192872616.001.0001
W9467931,A Laboratory for Geometric Performance 1,1999,Arts and Humanities,0.0,0,0,0,0.0,0,,10.1016/s0040-8166(97)80046-8
